id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,29,02_Frg_3ii_b_ב_ROI.tif:2334-4130:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,14600,113,78,126,4057,2284,146,100,0.758,1,0.685,1,29,29,   ,,,,,,2,,,,,
,,30,02_Frg_3ii_b_ב_ROI.tif:2331-3999:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,15870,87,28,127,3942,2262,115,138,0.779,1,0.833,1,30,30,א,,,,,,2,,,,,
,,31,02_Frg_3ii_b_ב_ROI.tif:2332-3848:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,27380,87,20,128,3756,2258,185,148,0.776,1,0.8,1,31,31,ש,,,,,,2,,,,,
,,32,02_Frg_3ii_b_ב_ROI.tif:2342-3705:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,16968,88,22,127,3655,2258,101,168,0.737,2,0.601,1,32,32,ר,,,,,,2,,,,,
,,33,02_Frg_3ii_b_ב_ROI.tif:2356-3587:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,10472,116,82,125,3519,2318,136,77,0.725,2,0.566,1,33,33,   ,,,,,,2,,,,,
,,18,02_Frg_3ii_b_ב_ROI.tif:2342-3461:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,15640,79,13,122,3404,2274,115,136,0.78,1,0.846,1,34,34,א,,,,,,2,,,,,
,,16,02_Frg_3ii_b_ב_ROI.tif:2334-3353:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,19350,75,22,121,3277,2269,150,129,0.781,1,0.86,1,35,35,מ,,,,,,2,,,,,
,,17,02_Frg_3ii_b_ב_ROI.tif:2368-3242:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,22066,93,26,124,3183,2275,118,187,0.745,2,0.631,1,36,36,ר,,,,,,2,,,,,
,,34,02_Frg_3ii_b_ב_ROI.tif:2396-3139:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,5368,114,67,123,3095,2366,88,61,0.76,1,0.693,1,37,37,   ,,,,,,2,,,,,
,,19,02_Frg_3ii_b_ב_ROI.tif:2364-3020:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,23840,79,19,124,2946,2284,149,160,0.784,1,0.931,1,38,38,מ,,,,,,2,,,,,
,,20,02_Frg_3ii_b_ב_ROI.tif:2380-2946:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,7455,72,22,125,2911,2328,71,105,0.756,1,0.676,1,39,39,ו,,,,,,2,,,,,
,,35,02_Frg_3ii_b_ב_ROI.tif:2744-4822:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,37510,82,15,117,4745,2623,155,242,0.748,2,0.64,1,40,40,ק,,,,,,3,,,,,
,,36,02_Frg_3ii_b_ב_ROI.tif:2807-4629:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,69174,79,17,115,4535,2624,189,366,0.706,2,0.516,1,41,41,ק,,,,,,3,,,,,
,,37,02_Frg_3ii_b_ב_ROI.tif:2699-4452:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,15106,100,43,115,4369,2654,166,91,0.719,2,0.548,1,42,42,   ,,,,,,3,,,,,
,,38,02_Frg_3ii_b_ב_ROI.tif:2687-4300:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,22632,84,25,114,4231,2605,138,164,0.78,1,0.841,1,43,43,ה,,,,,,3,,,,,
,,39,02_Frg_3ii_b_ב_ROI.tif:2671-4175:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,14605,79,31,113,4118,2608,115,127,0.783,1,0.906,1,44,44,ב,◦,,,,,3,,,,,
,,40,02_Frg_3ii_b_ב_ROI.tif:2676-4025:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,17812,79,29,113,3964,2603,122,146,0.779,1,0.836,1,45,45,א,,,,,,3,,,,,"The idiograph>mannerism suggests the aleph was made from waw/yod. And the beth looks odd, yet we can't find any overlap in the ink using ""find edges"" in Photoshop. The resh looks normal, and we wonder whether this suggests a correction during writing, since the space between the resh and the heh of the next word is not abnormal. It could have been that the scribe thought of the orthography of בור, which explains our palaeography. The question remains about the beth. We need to RECHECK against other beths to explain this."
,,41,02_Frg_3ii_b_ב_ROI.tif:2664-3899:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,26969,85,24,119,3825,2574,149,181,0.778,1,0.823,1,46,46,ר,,,,,,3,,,,,
,,42,02_Frg_3ii_b_ב_ROI.tif:2687-3772:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,5356,110,68,119,3722,2661,103,52,0.7,2,0.505,1,47,47,   ,,,,,,3,,,,,
,,43,02_Frg_3ii_b_ב_ROI.tif:2677-3643:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,27334,71,18,117,3564,2591,158,173,0.784,1,0.913,1,48,48,ה,,,,,,3,,,,,
,,44,02_Frg_3ii_b_ב_ROI.tif:2684-3519:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,14586,71,20,110,3468,2613,102,143,0.763,1,0.713,1,49,49,י,,,,,,3,,,,,
,,45,02_Frg_3ii_b_ב_ROI.tif:2688-3394:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,15510,73,16,119,3347,2606,94,165,0.726,2,0.57,1,50,50,א,,,,,,3,,,,,
,,46,02_Frg_3ii_b_ב_ROI.tif:2704-3304:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,4760,108,89,117,3262,2676,85,56,0.752,2,0.659,1,51,51,   ,,,,,,3,,,,,
,,47,02_Frg_3ii_b_ב_ROI.tif:2684-3218:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,13398,70,14,122,3175,2607,87,154,0.725,2,0.565,1,52,52,ה,,,,,,3,,,1,,
,,50,02_Frg_3ii_b_ב_ROI.tif:2653-3151:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1200,81,23,107,3127,2641,48,25,0.707,2,0.521,1,52,52,ה,,,,,,3,,,1,,
,,48,02_Frg_3ii_b_ב_ROI.tif:2668-3057:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1188,59,19,103,3035,2655,44,27,0.74,2,0.614,1,53,53,ת,,,,,,3,,,1,,
,,49,02_Frg_3ii_b_ב_ROI.tif:2754-3123:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,748,67,34,98,3106,2743,34,22,0.749,2,0.647,1,53,53,ת,,,,,,3,,,1,,
,,51,02_Frg_3ii_b_ב_ROI.tif:2656-3101:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,836,68,17,107,3082,2645,38,22,0.73,2,0.579,1,53,53,ת,,,,,,3,,,1,,
,,68,02_Frg_3ii_b_ב_ROI.tif:2991-5002:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,4661,82,16,114,4994,2930,59,79,0.769,1,0.747,1,54,54,א,,,,,,4,,,,,
,,67,02_Frg_3ii_b_ב_ROI.tif:2941-4904:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,17010,88,11,119,4868,2914,126,135,0.784,1,0.933,1,55,55,ר,,,,,,4,,,,,
,,64,02_Frg_3ii_b_ב_ROI.tif:3031-4775:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,36716,92,22,113,4708,2894,134,274,0.693,2,0.489,1,56,56,ץ,,,,,,4,,,,,
,,80,02_Frg_3ii_b_ב_ROI.tif:2979-4609:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,20291,96.448,31,114,4511,2928,197,103,0.708,1.913,0.523,1,57,67,   ,,,,,,4,,,,,
,,52,02_Frg_3ii_b_ב_ROI.tif:2912-4462:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,12028,66,17,110,4414,2850,97,124,0.774,1,0.782,1,58,58,י,,,,,,4,,,,,
,,53,02_Frg_3ii_b_ב_ROI.tif:2925-4356:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,21172,73,17,110,4277,2858,158,134,0.78,1,0.848,1,59,59,ה,,,,,,4,,,,,
,,54,02_Frg_3ii_b_ב_ROI.tif:2927-4260:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,9516,76,28,106,4221,2866,78,122,0.747,2,0.639,1,60,60,ו,,,,,,4,,,,,
,,55,02_Frg_3ii_b_ב_ROI.tif:2939-4138:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,23200,87,17,113,4066,2859,145,160,0.783,1,0.906,1,61,61,ד,,,,,,4,,,,,
,,56,02_Frg_3ii_b_ב_ROI.tif:2942-4008:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,29583,91,17,115,3922,2857,173,171,0.785,1,0.988,1,62,62,ה,,,,,,4,,,,,
,,57,02_Frg_3ii_b_ב_ROI.tif:2967-3866:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,9040,104,86,116,3810,2927,113,80,0.762,1,0.708,1,63,63,   ,,,,,,4,,,,,
,,58,02_Frg_3ii_b_ב_ROI.tif:2916-3767:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,10120,85,37,111,3723,2859,88,115,0.772,1,0.765,1,64,64,ו,,,,,,4,,,,,
,,59,02_Frg_3ii_b_ב_ROI.tif:2929-3667:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,9240,78,22,107,3623,2877,88,105,0.779,1,0.838,1,65,65,י,,,,,,4,,,,,
,,60,02_Frg_3ii_b_ב_ROI.tif:2939-3562:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,21840,76,22,118,3492,2861,140,156,0.783,1,0.897,1,66,66,ג,,,,,,4,,,,,
,,61,02_Frg_3ii_b_ב_ROI.tif:2957-3445:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,13392,75,19,119,3399,2885,93,144,0.749,2,0.646,1,67,67,ו,,,,,,4,,,,,
,,62,02_Frg_3ii_b_ב_ROI.tif:2955-3330:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,18271,81,18,115,3270,2880,121,151,0.776,1,0.801,1,68,68,ר,,,,,,4,,,,,
,,63,02_Frg_3ii_b_ב_ROI.tif:2983-3206:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,11023,70,15,118,3170,2908,73,151,0.69,2,0.483,1,69,69,ו,,,,,,4,,,,,
,,66,02_Frg_3ii_b_ב_ROI.tif:3210-4958:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,4928,73,19,107,4920,3178,77,64,0.779,1,0.831,1,70,70,ו,ל,,,,,5,,,,1,
,,72,02_Frg_3ii_b_ב_ROI.tif:3093-4865:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,8493,77,22,113,4837,3019,57,149,0.629,3,0.383,1,71,70,ל,ל,,,,,5,,,,1,
,,65,02_Frg_3ii_b_ב_ROI.tif:3139-4606:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,3354,82,27,109,4585,3100,43,78,0.72,2,0.551,1,72,71,◦,,,,,,5,,,,,"It is difficult to say whether this is ink or not, by looking in the images. RECHECK. Question: would the other wave lengths solve this problem?"
,,69,02_Frg_3ii_b_ב_ROI.tif:3158-4293:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,900,73,26,101,4275,3146,36,25,0.76,1,0.694,1,73,72,◦,,,,,,5,,,,,
,,70,02_Frg_3ii_b_ב_ROI.tif:3190-3611:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1914,60,28,93,3582,3174,58,33,0.726,2,0.569,1,74,73,ו,,,,,,5,,,,,
,,71,02_Frg_3ii_b_ב_ROI.tif:3117-3461:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,23628,82,16,112,3395,3028,132,179,0.767,1,0.737,1,75,74,,,,,,,5,,,,,
,,82,02_Frg_3ii_b_ב_ROI.tif:2289-2840:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,41412,81.598,12,124,2753,2170,174,238,0.766,1.368,0.731,1,,,,,,,,,,,,,,Is this a blob of ink? RECHECK
