id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
33,,,02_Frg_3ii_b_א_ROI.tif:3011-4437:2,2646,97.145,66,113,4374,3001,126,21,0.385,6,0.167,1,41,,   ,,,,,,5,,,,,
34,,,02_Frg_3ii_b_א_ROI.tif:2983-4311:2,18144,82.909,34,117,4248,2911,126,144,0.782,1.143,0.875,1,42,,מ,,,,,,5,,,,,
37,,,02_Frg_3ii_b_א_ROI.tif:2967-4148:2,22575,81.727,15,119,4061,2903,175,129,0.767,1.357,0.737,1,43,,ס,,,,,,5,,,,,
35,,,02_Frg_3ii_b_א_ROI.tif:2965-3970:2,26775,89.473,23,119,3883,2889,175,153,0.782,1.144,0.874,1,44,,ג,,,,,,5,,,,,
36,,,02_Frg_3ii_b_א_ROI.tif:2959-3840:2,15606,80.837,17,123,3789,2883,102,153,0.754,1.5,0.667,1,45,,י,,,,,,5,,,,,
68,,,02_Frg_3ii_b_א_ROI.tif:2961-3755:2,7956,105.203,72,122,3721,2903,68,117,0.73,1.721,0.581,1,46,,   ,   ,,,,,5,,,,,
38,,,02_Frg_3ii_b_א_ROI.tif:2936-3649:2,22896,78.851,19,116,3577,2857,144,159,0.783,1.104,0.906,1,47,,ג,,,,,,5,,,,,
39,,,02_Frg_3ii_b_א_ROI.tif:2905-3528:2,18850,76.674,16,121,3456,2840,145,130,0.783,1.115,0.897,1,48,,ב,,,,,,5,,,,,
40,,,02_Frg_3ii_b_א_ROI.tif:2902-3413:2,12610,78.054,25,116,3365,2837,97,130,0.769,1.34,0.746,1,49,,ו,,,,,,5,,,,,
41,,,02_Frg_3ii_b_א_ROI.tif:2832-3255:2,69936,91.842,23,124,3161,2646,188,372,0.701,1.979,0.505,1,50,,ל,,,,,,5,,,,,
42,,,02_Frg_3ii_b_א_ROI.tif:3256-4534:2,21216,70.858,17,112,4456,3188,156,136,0.782,1.147,0.872,1,51,,מ,,,,,,6,,,,,
43,,,02_Frg_3ii_b_א_ROI.tif:3254-4430:2,16241,80.415,26,115,4376,3180,109,149,0.767,1.367,0.732,1,52,,צ,,,,,,6,,,,,
44,,,02_Frg_3ii_b_א_ROI.tif:3255-4318:2,11956,81.527,26,114,4269,3194,98,122,0.776,1.245,0.803,1,53,,ו,,,,,,6,,,,,
45,,,02_Frg_3ii_b_א_ROI.tif:3254-4221:2,12480,78.357,23,120,4182,3174,78,160,0.692,2.051,0.488,1,54,,ו,,,,,,6,,,,,
46,,,02_Frg_3ii_b_א_ROI.tif:3257-4073:2,42624,89.458,24,117,3977,3146,192,222,0.781,1.156,0.865,1,55,,ת,,,,,,6,,,,,
47,,,02_Frg_3ii_b_א_ROI.tif:3186-3916:2,5490,102.44,84,115,3855,3164,122,45,0.618,2.711,0.369,1,56,,   ,,,,,,6,,,,,
48,,,02_Frg_3ii_b_א_ROI.tif:3205-3799:2,16240,74.169,19,113,3743,3133,112,145,0.772,1.295,0.772,1,57,,א,,,,,,6,,,,,
49,,,02_Frg_3ii_b_א_ROI.tif:3085-3641:2,45012,74.637,14,117,3548,2964,186,242,0.772,1.301,0.769,1,58,,ל,,,,,,6,,,,,
