id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
253,,253,02_Frg_5ii_ROI.tif:4846-2190:1,19092,44874,12,84,2126,4772,129,148,782,1147,872,1000,,,א,,,,,,11,,,,,
254,,254,02_Frg_5ii_ROI.tif:4832-2046:1,20139,43603,13,87,1973,4764,147,137,784,1073,932,1000,,,כ,,,,,,11,,,,,
255,,255,02_Frg_5ii_ROI.tif:4828-1972:1,14418,47528,13,89,1932,4739,81,178,675,2198,455,1000,,,ו,,,,,,11,,,,,
256,,256,02_Frg_5ii_ROI.tif:4765-1851:1,38525,64030,15,99,1794,4598,115,335,598,2913,343,1000,,,ל,,,,,,11,,,,,
257,,257,02_Frg_5ii_ROI.tif:4832-1733:1,21054,84619,62,107,1673,4745,121,174,760,1438,695,1000,,,   ,,,,,,11,,,,,
258,,258,02_Frg_5ii_ROI.tif:4825-1588:1,28392,70674,18,106,1504,4741,169,168,785,1006,994,1000,,,מ,,,,,,11,,,,,
259,,259,02_Frg_5ii_ROI.tif:4889-1510:1,19500,70749,18,106,1478,4739,65,300,460,4615,217,1000,,,ן,,,,,,11,,,,,
260,,260,02_Frg_5ii_ROI.tif:4864-1412:1,20196,89517,33,106,1346,4788,132,153,781,1159,863,1000,,,   ,,,,,,11,,,,,
261,,261,02_Frg_5ii_ROI.tif:4824-1255:1,32041,70547,17,106,1166,4735,179,179,785,1000,1000,1000,,,ה,,,,,,11,,,,,
262,,262,02_Frg_5ii_ROI.tif:4869-1096:1,31097,74611,18,107,1036,4741,121,257,684,2124,471,1000,,,ק,,,,,,11,,,,,
263,,263,02_Frg_5ii_ROI.tif:4813-0984:1,9030,54684,17,94,949,4749,70,129,716,1843,543,1000,,,ו,,,,,,11,,,,,
