id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,34,Frg_2ii_א_char.tif:0001-1027-4753:1,0.019,84.664,28,255,3.848,0.77,0.128,0.15,0.781,1.167,0.857,1,45,,ר,,,,,,3,,,,,
,,35,Frg_2ii_א_char.tif:0001-1018-4625:1,0.01,79.847,26,255,3.764,0.781,0.086,0.114,0.771,1.314,0.761,1,46,,ו,,,,,,3,,damaged,,,
,,36,Frg_2ii_א_char.tif:0001-1209-4636:1,0.018,104.297,28,255,3.78,0.867,0.072,0.255,0.538,3.563,0.281,1,47,,ן,,,,,,3,,damaged,,,
,,215,Frg_2ii_א_char.tif:0001-1042-4510:1,0.009,115.072,43,255,3.66,0.814,0.104,0.087,0.78,1.189,0.841,1,48,, ,,,,,,3,,,,,
,,37,Frg_2ii_א_char.tif:0001-1032-4395:1,0.014,89.172,25,255,3.575,0.765,0.085,0.17,0.697,2.01,0.498,1,49,,ל,,,,,,3,,damaged,,1,
,,38,Frg_2ii_א_char.tif:0001-0797-4237:1,0.009,95.467,19,255,3.444,0.604,0.086,0.105,0.778,1.21,0.827,1,49,,ל,,,,,,3,,damaged,,1,
,,39,Frg_2ii_א_char.tif:0001-1085-4323:1,0.009,82.305,36,121,3.516,0.843,0.085,0.1,0.78,1.184,0.844,1,50,,ע,,,,,,3,,,,,
,,40,Frg_2ii_א_char.tif:0001-1106-4173:1,0.026,82.53,38,134,3.361,0.823,0.147,0.174,0.779,1.191,0.84,1,51,,ם,,,,,,3,,,,,
,,216,Frg_2ii_א_char.tif:0001-1067-4033:1,0.008,106.235,70,127,3.277,0.83,0.084,0.098,0.781,1.167,0.857,1,52,, ,,,,,,3,,,,,
,,41,Frg_2ii_א_char.tif:0001-0958-3935:1,0.018,84.467,43,123,3.201,0.674,0.077,0.23,0.589,3,0.333,1,53,,ל,,,,,,3,,,,,
,,42,Frg_2ii_א_char.tif:0001-1081-3841:1,0.01,84.41,36,120,3.116,0.837,0.091,0.105,0.781,1.164,0.859,1,54,,א,,,,,,3,,,,,
,,217,Frg_2ii_א_char.tif:0001-1095-3733:1,0.007,112.212,84,129,3.029,0.861,0.087,0.081,0.784,1.082,0.925,1,55,, ,,,,,,3,,,,,
,,43,Frg_2ii_א_char.tif:0001-1081-3637:1,0.008,85.776,41,125,2.959,0.835,0.07,0.11,0.746,1.576,0.634,1,56,,י,,,,,,3,,,,,
