id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,is_Joined,kerning,damaged,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,commentary
,,102,frg_1b_ROI.tif:00001-08371-02315:1,0.012,69.591,40,100,1.854,6.832,0.103,0.116,0.783,1.128,0.887,1,93,,,,,,מ,,,,,,15,,,
,,103,frg_1b_ROI.tif:00001-08587-02128:1,0.002,63.565,47,120,1.735,7.043,0.033,0.049,0.754,1.5,0.667,1,138,,,,,,<>,,,,,,null,,scribal mark,
,,104,frg_1b_ROI.tif:00001-08697-01464:1,0.003,101.706,52,165,1.181,7.124,0.049,0.068,0.763,1.407,0.711,1,113,,,,,1,ו,י,,,,,16,,,
,,105,frg_1b_ROI.tif:00001-08703-01413:1,0.001,105.355,54,136,1.146,7.149,0.035,0.029,0.777,1.229,0.814,1,114,,,,,1,,,,,,,16,,,
,,106,frg_1b_ROI.tif:00001-08714-01329:1,0.012,96.837,56,192,1.042,7.116,0.104,0.112,0.784,1.079,0.926,1,115,,,,,1,א,,,,,,16,,,
,,107,frg_1b_ROI.tif:00001-08717-01903:1,0.007,70.219,53,116,1.534,7.124,0.065,0.1,0.749,1.544,0.648,1,109,,,,,,י,ו,,,,,16,,,
,,108,frg_1b_ROI.tif:00001-08719-01538:1,0.008,97.523,56,177,1.226,7.123,0.08,0.106,0.77,1.33,0.752,1,112,,,,,1,ב,,,,,,16,,,
,,109,frg_1b_ROI.tif:00001-08720-01764:1,0.016,89.089,31,154,1.388,7.117,0.129,0.12,0.784,1.075,0.93,1,110,,,,,1,ש,,,,,,16,,,
,,110,frg_1b_ROI.tif:00001-08722-01213:1,0.011,87.211,53,153,0.957,7.11,0.083,0.137,0.738,1.653,0.605,1,116,,,,,,ת,,,,,,16,,,
,,111,frg_1b_ROI.tif:00001-08723-02445:1,0.012,70.894,53,111,1.956,7.127,0.114,0.105,0.784,1.086,0.921,1,105,,,,,1,א,,,,,,16,,,
,,112,frg_1b_ROI.tif:00001-08728-01646:1,0.007,96.675,55,148,1.324,7.125,0.062,0.117,0.711,1.893,0.528,1,111,,,,,,ו,י,,,,,16,,,
,,113,frg_1b_ROI.tif:00001-08729-02035:1,0.011,72.483,52,103,1.599,7.148,0.152,0.073,0.689,2.079,0.481,1,108,,,,,,,,,,,,16,,,
,,114,frg_1b_ROI.tif:00001-08737-02317:1,0.011,66.979,29,143,1.863,7.128,0.088,0.127,0.76,1.439,0.695,1,106,,,,,1,פ,,,,,,16,,,
,,115,frg_1b_ROI.tif:00001-08760-02196:1,0.019,64.874,17,118,1.751,7.127,0.112,0.166,0.755,1.485,0.673,1,107,,,,,1,ר,,,,,,16,,,
,,116,frg_1b_ROI.tif:00001-09097-02497:1,0.005,70.967,43,98,2.028,7.442,0.054,0.091,0.735,1.682,0.595,1,117,,,,,,ו,,,,,,17,,,
,,117,frg_1b_ROI.tif:00001-09100-02382:1,0.011,74.106,46,102,1.909,7.435,0.104,0.109,0.785,1.056,0.947,1,118,,,,,,א,,,,,,17,,,
,,118,frg_1b_ROI.tif:00001-09108-02258:1,0.009,69.944,43,105,1.819,7.439,0.08,0.115,0.76,1.443,0.693,1,119,,,,,,פ,,,,,,17,,,
,,119,frg_1b_ROI.tif:00001-09123-02154:1,0.016,74.867,47,143,1.722,7.431,0.102,0.156,0.752,1.524,0.656,1,120,,,,,,ר,,,,,,17,,,
,,120,frg_1b_ROI.tif:00001-09125-02034:1,0.006,86.635,68,128,1.627,7.48,0.095,0.061,0.748,1.554,0.643,1,121,,,,,,,,,,,,17,,,
,,121,frg_1b_ROI.tif:00001-09135-01897-121:1,0.0008102,91.345,61,143,1.608,7.481,0.019,0.043,0.668,2.261,0.442,1,122,,,,,1,י,ו,,,,,17,,,
,,122,frg_1b_ROI.tif:00001-09158-01382:1,0.015,102.795,35,255,1.093,7.456,0.089,0.164,0.716,1.843,0.543,1,126,,,,,1,ק,,,,,,17,,,
,,123,frg_1b_ROI.tif:00001-09495-02127:1,0.009,89.917,57,156,1.714,7.755,0.072,0.121,0.736,1.67,0.599,1,131,,,,,1,ו,,,,,,18,,,
,,124,frg_1b_ROI.tif:00001-09500-02230:1,0.013,76.873,5,131,1.782,7.758,0.108,0.122,0.782,1.13,0.885,1,130,,,,,,ב,,,,,,18,,,
,,125,frg_1b_ROI.tif:00001-09513-02329-125:1,0.017,79.065,12,134,1.89,7.758,0.109,0.153,0.763,1.409,0.71,1,129,,,,,,ת,,,,,,18,,,
,,126,frg_1b_ROI.tif:00001-09534-02505:1,0.015,81.675,57,127,2.007,7.78,0.11,0.133,0.778,1.209,0.827,1,128,,,,,,ה,,,,,,18,,,
,,127,frg_1b_ROI.tif:00001-09750-02211:1,0.001,79.474,47,127,1.802,8.006,0.037,0.038,0.785,1.022,0.978,1,135,,,,,1,◦,,,,,,19,,,
,,128,frg_1b_ROI.tif:00001-09759-02298:1,0.005,95.19,55,255,1.853,7.998,0.076,0.067,0.783,1.122,0.891,1,134,,,,,1,◦,,,,,,19,,,
,,129,frg_1b_ROI.tif:00001-09777-02402:1,0.003,85.15,53,255,1.95,8.02,0.054,0.055,0.785,1.015,0.985,1,133,,,,,1,ב,,,,,,19,,,
,,130,frg_1b_ROI.tif:00001-09788-02497:1,0.005,90.931,48,255,2.016,8.026,0.079,0.062,0.774,1.28,0.781,1,132,,,,,1,ו,,,,,,19,,,
,,131,frg_1b_ROI.tif:00001-02645-01594:1,0.003,72.125,43,138,1.298,2.126,0.028,0.103,0.528,3.676,0.272,1,2,,,1,,1,ת,,,,,,1,,,
,,132,frg_1b_ROI.tif:00001-07658-01156:1,0.004,94.003,53,177,0.931,6.25,0.042,0.106,0.638,2.529,0.395,1,83,,,,,1,א,,,,,,13,,,
,,133,frg_1b_ROI.tif:00001-08338-01211:1,0.006,80.857,27,153,0.968,6.815,0.058,0.096,0.738,1.648,0.607,1,103,,,,,1,נ,,,,,,15,,,
,,134,frg_1b_ROI.tif:00001-08403-01181:1,0.001,91.845,55,255,0.958,6.894,0.028,0.044,0.745,1.588,0.63,1,104,,,1,,1,ן,,,,,,15,,,
,,135,frg_1b_ROI.tif:00001-08568-01174:1,0.004,90.265,56,228,0.945,7.007,0.043,0.089,0.689,2.077,0.481,1,104,,,1,,1,ן,,,,,,15,,,
,,136,frg_1b_ROI.tif:00001-09124-01885:1,0.007,84.09,19,170,1.513,7.467,0.077,0.086,0.783,1.106,0.904,1,123,,,,,1,מ,,,,,,17,,,
,,137,frg_1b_ROI.tif:00001-09101-01840:1,0.002,70.898,19,130,1.495,7.463,0.04,0.057,0.76,1.438,0.696,1,124,,,,,1,י,,,,,,17,,,
,,138,frg_1b_ROI.tif:00001-09093-01774:1,0.001,86.528,39,135,1.446,7.464,0.028,0.04,0.76,1.441,0.694,1,125,,,,,1,◦,,,,,,17,,,
,,139,frg_1b_ROI.tif:00001-09086-01099:1,0.003,83.597,55,255,0.877,7.453,0.057,0.05,0.782,1.131,0.884,1,127,,,,,1,◦,,,,,,17,,,
,,140,frg_1b_ROI.tif:00001-07661-01272:1,0.01,84.508,35,142,0.973,6.272,0.149,0.067,0.674,2.207,0.453,1,82,,,,,,,,,,,,13,,,
