id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
109,,,02-Frg_2i_א_ROI.tif:0007-5118-1837-111:7,9945,85.665,49,166,1797,5079,85,117,0.766,1.376,0.726,1,124,,ב,,,,,,,,,,,
110,,,02-Frg_2i_א_ROI.tif:0007-5095-1741:7,3080,84.247,41,177,1713,5068,56,55,0.785,1.018,0.982,1,125,,ה,,,,,,,,,,,"On the IAA image (483832) there has been some material lost, and we cannot make a complete reading here. However, by consulting the PAM 42383 or PAM 43269, we can make a reading of גבהו[ות]"
111,,,02-Frg_2i_א_ROI.tif:0007-5494-3387:7,17423,77.947,38,166,3322,5428,131,133,0.785,1.015,0.985,1,126,,א,,,,,,,,damaged,,1_0,
112,,,02-Frg_2i_א_ROI.tif:0007-5685-3371:7,1848,89.75,62,141,3349,5664,44,42,0.785,1.048,0.955,1,126,,א,,,,,,,,damaged,,1_0,
113,,,02-Frg_2i_א_ROI.tif:0007-5630-3303:7,3234,88.203,56,143,3279,5597,49,66,0.768,1.347,0.742,1,126,,א,,,,,,,,damaged,,1_0,
114,,,02-Frg_2i_א_ROI.tif:0007-5546-3207:7,24150,86.607,42,162,3127,5471,161,150,0.784,1.073,0.932,1,127,,ש,,,,,,,,,,,
115,,,02-Frg_2i_א_ROI.tif:0007-5547-3058:7,26543,88.555,46,152,2995,5443,127,209,0.739,1.646,0.608,1,128,,ר,,,,,,,,,,,
156,,,02-Frg_2i_א_ROI.tif:0007-5549-2956:7,8181,94.333,69,140,2916,5499,81,101,0.776,1.247,0.802,1,129,,,,,,,,,,,,,
116,,,02-Frg_2i_א_ROI.tif:0007-5522-2847:7,21128,86.903,52,162,2778,5446,139,152,0.784,1.094,0.914,1,130,,ג,,,,,,,,,,,
117,,,02-Frg_2i_א_ROI.tif:0007-5500-2732:7,14214,92.302,53,151,2681,5431,103,138,0.769,1.34,0.746,1,131,,ב,,,,,,,,,,,
118,,,02-Frg_2i_א_ROI.tif:0007-5401-2606:7,41550,94.453,51,166,2531,5263,150,277,0.716,1.847,0.542,1,132,,ל,,,,,,,,,,,
119,,,02-Frg_2i_א_ROI.tif:0007-5484-2545:7,13536,88.997,56,153,2497,5414,96,141,0.757,1.469,0.681,1,133,,ו,,,,,,,,,,,
130,,,02-Frg_2i_א_ROI.tif:0007-5623-2360:7,864,84.559,61,130,2344,5610,32,27,0.78,1.185,0.844,1,134,,ר,,,,,,,,damaged,,1_0,
131,,,02-Frg_2i_א_ROI.tif:0007-5597-2350:7,1034,97.871,51,147,2327,5586,47,22,0.682,2.136,0.468,1,134,,ר,,,,,,,,damaged,,1_0,
132,,,02-Frg_2i_א_ROI.tif:0007-5468-2386:7,16764,90.276,44,158,2320,5405,132,127,0.785,1.039,0.962,1,134,,ר,,,,,,,,damaged,,1_0,This is the height and width and thus it should go into a different SQL table about the artefact and not the characters
157,,,02-Frg_2i_א_ROI.tif:0007-5483-2474:7,4277,101.158,65,152,2451,5438,47,91,0.706,1.936,0.516,1,134,,,,,,,,,,,,,
133,,,02-Frg_2i_א_ROI.tif:0007-5440-2268:7,5810,97.039,52,182,2227,5405,83,70,0.78,1.186,0.843,1,135,,י,,,,,,,,damaged,,1_0,
134,,,02-Frg_2i_א_ROI.tif:0007-5581-2222:7,5429,80.672,55,124,2192,5537,61,89,0.758,1.459,0.685,1,135,,י,,,,,,,,damaged,,1_0,
135,,,02-Frg_2i_א_ROI.tif:0007-5538-2043:7,36703,90.271,41,173,1899,5475,289,127,0.666,2.276,0.439,1,136,,ש,,,,,,,,,,,
120,,,02-Frg_2i_א_ROI.tif:0007-5873-3428:7,26970,90.171,56,157,3382,5728,93,290,0.578,3.118,0.321,1,137,,ל,,,,,,,,,,,
121,,,02-Frg_2i_א_ROI.tif:0007-5965-3357:7,18942,82.858,56,136,3280,5904,154,123,0.776,1.252,0.799,1,138,,ה,,,,,,,,,,,
122,,,02-Frg_2i_א_ROI.tif:0007-5948-3215:7,17673,82.177,41,151,3151,5880,129,137,0.785,1.062,0.942,1,139,,ס,,,,,,,,,,,
123,,,02-Frg_2i_א_ROI.tif:0007-5932-3085:7,23184,85.72,38,163,3016,5848,138,168,0.778,1.217,0.821,1,140,,ג,,,,,,,,,,,
124,,,02-Frg_2i_א_ROI.tif:0007-5944-2974:7,7200,89.772,42,133,2934,5899,80,90,0.783,1.125,0.889,1,141,,י,,,,,,,,,,,
125,,,02-Frg_2i_א_ROI.tif:0007-5924-2873:7,17388,82.106,37,139,2810,5855,126,138,0.784,1.095,0.913,1,142,,ר,,,,,,,,,,,
126,,,02-Frg_2i_א_ROI.tif:0007-5906-2677:7,47150,81.572,31,175,2562,5804,230,205,0.783,1.122,0.891,1,143,,ם,,,,,,,,,,,
158,,,02-Frg_2i_א_ROI.tif:0007-5900-2506:7,12312,89.16,52,152,2449,5846,114,108,0.785,1.056,0.947,1,144,,,,,,,,,,,,,
127,,,02-Frg_2i_א_ROI.tif:0007-5749-2398:7,21012,80.62,37,172,2347,5646,102,206,0.696,2.02,0.495,1,145,,ל,,,,,,,,,,,
128,,,02-Frg_2i_א_ROI.tif:0007-5890-2347:7,18088,78.344,56,144,2279,5824,136,133,0.785,1.023,0.978,1,146,,ח,,,,,,,,,,,
129,,,02-Frg_2i_א_ROI.tif:0007-5863-2243:7,7008,90.218,54,168,2207,5815,73,96,0.771,1.315,0.76,1,147,,ר,,,,,,,,,,,
136,,,02-Frg_2i_א_ROI.tif:0007-6273-3316:7,5060,84.863,52,145,3270,6246,92,55,0.736,1.673,0.598,1,148,,ב,,,,,,,,,,,
137,,,02-Frg_2i_א_ROI.tif:0007-6318-3217:7,22165,84.707,47,148,3140,6247,155,143,0.784,1.084,0.923,1,149,,ח,,,,,,,,,,,
138,,,02-Frg_2i_א_ROI.tif:0007-6296-3072:7,20944,90.387,54,141,3004,6219,136,154,0.782,1.132,0.883,1,150,,ר,,,,,,,,,,,
139,,,02-Frg_2i_א_ROI.tif:0007-6276-2949:7,17985,79.958,44,162,2895,6194,109,165,0.753,1.514,0.661,1,151,,ו,,,,,,,,,,,
140,,,02-Frg_2i_א_ROI.tif:0007-6181-2599:7,3417,92.769,50,158,2566,6156,67,51,0.771,1.314,0.761,1,152,,מ,,,,,,,,,,,
141,,,02-Frg_2i_א_ROI.tif:0007-6188-2499:7,4260,105.021,45,186,2469,6153,60,71,0.78,1.183,0.845,1,153,,י,,,,,,,,,,,
142,,,02-Frg_2i_א_ROI.tif:0007-3809-2784:7,12432375,98.635,0,252,1628,1122,2313,5375,0.661,2.324,0.43,1,,,,,,,,,,,,,,
163,,,02-Frg_2i_א_ROI.tif:0007-2549-2265:7,4450,117.143,53,172,2221,2524,89,50,0.724,1.78,0.562,1,,,   ,,,,,,,,,,,
