 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
48,48,att.cReferencing,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.cReferencing.html,,TEI infrastructure,,,,
49,49,att.damaged,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.damaged.html,,TEI infrastructure,,,,
50,50,att.datable.custom,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.custom.html,,namesdates,,,,
51,51,att.datable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.html,,TEI infrastructure,,,,
52,52,att.datable.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.iso.html,,namesdates,,,,
53,53,att.datable.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.w3c.html,,TEI infrastructure,,,,
54,54,att.datcat,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datcat.html,,TEI infrastructure,,,,
55,55,att.declarable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declarable.html,,TEI infrastructure,,,,
56,56,att.declaring,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declaring.html,,TEI infrastructure,,,,
57,57,att.dimensions,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.dimensions.html,,TEI infrastructure,,,,
58,58,att.divLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.divLike.html,,TEI infrastructure,,,,
59,59,att.docStatus,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.docStatus.html,,TEI infrastructure,,,,
60,60,att.duration,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.html,,spoken,,,,
61,61,att.duration.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.iso.html,,TEI infrastructure,,,,
62,62,att.duration.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.w3c.html,,TEI infrastructure,,,,
63,63,att.edition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.edition.html,,TEI infrastructure,,,,
64,64,att.editLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.editLike.html,,TEI infrastructure,,,,
65,65,att.enjamb,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.enjamb.html,,Verse,,,,
66,66,att.entryLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.entryLike.html,,dictionary,,,,
67,67,att.fragmentable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.fragmentable.html,,TEI infrastructure,,,,
68,68,att.global.analytic,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.analytic.html,,analysis,,,,
69,69,att.global.change,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.change.html,,transc,,,,
70,70,att.global.facs,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.facs.html,1,transc,Correspondence between an element containing text and part of an image,,,
71,71,att.global,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.html,,TEI infrastructure,,,,
72,72,att.global.linking,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.linking.html,,linking,,,,
73,73,att.handFeatures,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.handFeatures.html,,TEI infrastructure,,,,
74,74,att,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.html,1,tagdocs,,,,
75,75,att.identified,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.identified.html,,tagdocs,,,,
76,76,att.internetMedia,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.internetMedia.html,,TEI infrastructure,,,,
77,77,att.interpLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.interpLike.html,,TEI infrastructure,,,,
78,78,att.lexicographic,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.lexicographic.html,,dictionary,,,,
79,79,att.measurement,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.measurement.html,,TEI infrastructure,,,,
80,80,att.media,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.media.html,,TEI infrastructure,,,,
81,81,att.metrical,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.metrical.html,,Verse,,,,
82,82,att.milestoneUnit,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.milestoneUnit.html,,core,,,,
83,83,att.msExcerpt,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.msExcerpt.html,,msdescription,,,,
84,84,att.namespaceable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.namespaceable.html,,tagdocs,,,,
85,85,att.naming,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.naming.html,,TEI infrastructure,,,,
86,86,att.patternReplacement,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.patternReplacement.html,,header,,,,
87,87,att.personal,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.personal.html,,TEI infrastructure,,,,
88,88,att.placement,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.placement.html,,TEI infrastructure,,,,
89,89,att.pointing.group,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.group.html,,TEI infrastructure,,,,
90,90,att.pointing,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.html,,TEI infrastructure,,,,
91,91,att.ranging,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ranging.html,,TEI infrastructure,,,,
92,92,att.rdgPart,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.rdgPart.html,,textcrit,,,,
93,93,att.readFrom,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.readFrom.html,,TEI infrastructure,,,,
94,94,att.resourced,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.resourced.html,,TEI infrastructure,,,,
95,95,att.segLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.segLike.html,,TEI infrastructure,,,,
96,96,att.sortable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.sortable.html,,TEI infrastructure,,,,
97,97,att.source,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.source.html,,TEI infrastructure,,,,
98,98,att.spanning,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.spanning.html,,TEI infrastructure,,,,
99,99,att.styleDef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.styleDef.html,,TEI infrastructure,,,,
100,100,att.tableDecoration,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.tableDecoration.html,,TEI infrastructure,,,,
101,101,att.textCritical,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.textCritical.html,,textcrit,,,,
102,102,att.timed,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.timed.html,,TEI infrastructure,,,,
103,103,att.transcriptional,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.transcriptional.html,,TEI infrastructure,,,,
104,104,att.translatable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.translatable.html,,TEI infrastructure,,,,
105,105,att.typed,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.typed.html,,TEI infrastructure,,,,
106,106,att.witnessed,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.witnessed.html,,textcrit,,,,
107,107,attDef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attDef.html,0,tagdocs,,,,
108,108,attList,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attList.html,0,tagdocs,,,,
109,109,attRef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-attRef.html,,tagdocs,,,,
110,110,author,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-author.html,1,core,,,,
