 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
211,T-S_10K6;1r.tif:0211,4050,44.805,0,131,888,1391,30,135,152.331,33.851,90,0.467,4.500,0.222,1.000
212,T-S_10K6;1r.tif:0212,20272,70.800,0,135,775,1385,112,181,204.237,126.378,90,0.742,1.616,0.619,1.000
213,T-S_10K6;1r.tif:0213,4524,54.829,0,144,4200,1630,39,116,130.892,44.007,90,0.592,2.974,0.336,1.000
214,T-S_10K6;1r.tif:0214,19026,62.589,0,161,4074,1633,126,151,170.385,142.176,90,0.779,1.198,0.834,1.000
215,T-S_10K6;1r.tif:0215,15609,51.581,0,189,3972,1633,121,129,145.561,136.534,90,0.785,1.066,0.938,1.000
216,T-S_10K6;1r.tif:0216,4320,61.980,0,184,3821,1636,48,90,101.554,54.162,90,0.713,1.875,0.533,1.000
217,T-S_10K6;1r.tif:0217,23373,61.552,0,184,3807,1634,159,147,179.412,165.872,0,0.784,1.082,0.925,1.000
218,T-S_10K6;1r.tif:0218,15965,51.370,0,148,3719,1639,103,155,174.899,116.223,90,0.753,1.505,0.665,1.000
219,T-S_10K6;1r.tif:0219,8415,95.404,25,128,3634,1660,85,99,111.710,95.912,90,0.781,1.165,0.859,1.000
220,T-S_10K6;1r.tif:0220,21854,62.942,0,145,3536,1558,98,223,251.629,110.581,90,0.666,2.276,0.439,1.000
221,T-S_10K6;1r.tif:0221,19564,52.805,0,192,3423,1652,134,146,164.743,151.203,90,0.784,1.090,0.918,1.000
222,T-S_10K6;1r.tif:0222,3772,51.513,0,132,3404,1657,46,82,92.527,51.905,90,0.723,1.783,0.561,1.000
223,T-S_10K6;1r.tif:0223,18327,67.074,0,186,3276,1656,123,149,168.128,138.791,90,0.778,1.211,0.826,1.000
224,T-S_10K6;1r.tif:0224,7852,65.396,0,196,3249,1662,52,151,170.385,58.676,90,0.599,2.904,0.344,1.000
225,T-S_10K6;1r.tif:0225,4576,100.918,38,147,3205,1665,44,104,117.351,49.649,90,0.656,2.364,0.423,1.000
226,T-S_10K6;1r.tif:0226,11400,65.708,0,144,3105,1650,100,114,128.635,112.838,90,0.782,1.140,0.877,1.000
227,T-S_10K6;1r.tif:0227,3894,67.709,0,138,3064,1650,33,118,133.149,37.237,90,0.537,3.576,0.280,1.000
228,T-S_10K6;1r.tif:0228,16677,62.120,0,252,2957,1649,109,153,172.642,122.993,90,0.763,1.404,0.712,1.000
229,T-S_10K6;1r.tif:0229,14976,57.623,0,207,2883,1651,104,144,162.487,117.351,90,0.765,1.385,0.722,1.000
230,T-S_10K6;1r.tif:0230,4176,119.709,10,210,2825,1684,58,72,81.243,65.446,90,0.776,1.241,0.806,1.000
231,T-S_10K6;1r.tif:0231,12444,58.503,0,138,2723,1663,102,122,137.662,115.095,90,0.779,1.196,0.836,1.000
232,T-S_10K6;1r.tif:0232,3600,58.817,0,137,2681,1656,45,80,90.270,50.777,90,0.724,1.778,0.563,1.000
233,T-S_10K6;1r.tif:0233,12750,62.030,0,165,2575,1654,102,125,141.047,115.095,90,0.777,1.225,0.816,1.000
234,T-S_10K6;1r.tif:0234,6893,99.742,38,166,2514,1664,61,113,127.507,68.831,90,0.715,1.852,0.540,1.000
235,T-S_10K6;1r.tif:0235,10184,46.956,0,164,2438,1660,76,134,151.203,85.757,90,0.725,1.763,0.567,1.000
236,T-S_10K6;1r.tif:0236,11305,52.406,0,164,2376,1649,85,133,150.074,95.912,90,0.747,1.565,0.639,1.000
237,T-S_10K6;1r.tif:0237,4960,53.603,0,135,2329,1659,40,124,139.919,45.135,90,0.579,3.100,0.323,1.000
238,T-S_10K6;1r.tif:0238,13536,54.967,0,151,2225,1652,96,141,159.101,108.324,90,0.757,1.469,0.681,1.000
239,T-S_10K6;1r.tif:0239,15568,64.861,0,137,2092,1642,112,139,156.845,126.378,90,0.776,1.241,0.806,1.000
240,T-S_10K6;1r.tif:0240,10220,59.437,0,151,1996,1650,73,140,157.973,82.372,90,0.708,1.918,0.521,1.000
241,T-S_10K6;1r.tif:0241,14896,59.553,0,179,1891,1649,112,133,150.074,126.378,90,0.780,1.188,0.842,1.000
242,T-S_10K6;1r.tif:0242,15370,63.261,0,141,1775,1643,106,145,163.615,119.608,90,0.766,1.368,0.731,1.000
243,T-S_10K6;1r.tif:0243,18125,72.454,0,141,1647,1644,125,145,163.615,141.047,90,0.781,1.160,0.862,1.000
244,T-S_10K6;1r.tif:0244,10032,101.623,0,142,1533,1673,114,88,128.635,99.297,0,0.772,1.295,0.772,1.000
245,T-S_10K6;1r.tif:0245,14916,49.239,0,132,1420,1640,113,132,148.946,127.507,90,0.781,1.168,0.856,1.000
246,T-S_10K6;1r.tif:0246,22321,66.499,0,151,1321,1534,101,221,249.372,113.966,90,0.676,2.188,0.457,1.000
247,T-S_10K6;1r.tif:0247,21420,66.528,0,138,1238,1613,119,180,203.108,134.277,90,0.753,1.513,0.661,1.000
248,T-S_10K6;1r.tif:0248,6270,106.843,50,140,1172,1655,66,95,107.196,74.473,90,0.760,1.439,0.695,1.000
249,T-S_10K6;1r.tif:0249,13464,66.097,0,140,1073,1618,99,136,153.460,111.710,90,0.766,1.374,0.728,1.000
250,T-S_10K6;1r.tif:0250,15180,57.428,0,136,966,1616,110,138,155.716,124.122,90,0.775,1.255,0.797,1.000
251,T-S_10K6;1r.tif:0251,24411,88.383,0,199,870,1531,103,237,267.426,116.223,90,0.663,2.301,0.435,1.000
252,T-S_10K6;1r.tif:0252,11790,54.189,0,194,4162,1837,90,131,147.818,101.554,90,0.758,1.456,0.687,1.000
253,T-S_10K6;1r.tif:0253,18228,69.985,0,210,4074,1846,84,217,244.858,94.784,90,0.632,2.583,0.387,1.000
254,T-S_10K6;1r.tif:0254,8976,59.934,0,143,3984,1835,88,102,115.095,99.297,90,0.781,1.159,0.863,1.000
255,T-S_10K6;1r.tif:0255,12350,55.478,0,158,3890,1833,95,130,146.689,107.196,90,0.766,1.368,0.731,1.000
256,T-S_10K6;1r.tif:0256,3782,95.355,48,142,3829,1862,61,62,69.960,68.831,90,0.785,1.016,0.984,1.000
257,T-S_10K6;1r.tif:0257,6811,58.160,0,169,3780,1830,49,139,156.845,55.291,90,0.605,2.837,0.353,1.000
258,T-S_10K6;1r.tif:0258,5369,52.692,0,219,3720,1831,59,91,102.683,66.574,90,0.750,1.542,0.648,1.000
259,T-S_10K6;1r.tif:0259,21330,56.417,0,215,3581,1838,135,158,178.284,152.331,90,0.781,1.170,0.854,1.000
260,T-S_10K6;1r.tif:0260,14606,46.690,0,145,3473,1838,109,134,151.203,122.993,90,0.777,1.229,0.813,1.000
261,T-S_10K6;1r.tif:0261,14595,54.464,0,137,3363,1833,105,139,156.845,118.480,90,0.770,1.324,0.755,1.000
262,T-S_10K6;1r.tif:0262,5084,100.615,36,140,3301,1871,62,82,92.527,69.960,90,0.770,1.323,0.756,1.000
263,T-S_10K6;1r.tif:0263,16592,53.978,0,165,3179,1837,122,136,153.460,137.662,90,0.783,1.115,0.897,1.000
264,T-S_10K6;1r.tif:0264,3870,59.164,0,164,3133,1839,43,90,101.554,48.520,90,0.687,2.093,0.478,1.000
265,T-S_10K6;1r.tif:0265,16402,58.536,0,140,2991,1835,139,118,156.845,133.149,0,0.780,1.178,0.849,1.000
266,T-S_10K6;1r.tif:0266,11532,57.045,0,252,2908,1837,93,124,139.919,104.939,90,0.769,1.333,0.750,1.000
267,T-S_10K6;1r.tif:0267,14500,50.086,0,135,2818,1838,116,125,141.047,130.892,90,0.784,1.078,0.928,1.000
268,T-S_10K6;1r.tif:0268,23435,77.189,0,151,2700,1782,109,215,242.602,122.993,90,0.701,1.972,0.507,1.000
269,T-S_10K6;1r.tif:0269,4536,104.031,54,148,2616,1885,84,54,94.784,60.932,0,0.748,1.556,0.643,1.000
270,T-S_10K6;1r.tif:0270,5628,54.486,0,201,2574,1844,42,134,151.203,47.392,90,0.571,3.190,0.313,1.000
271,T-S_10K6;1r.tif:0271,14080,50.791,0,151,2452,1846,110,128,144.433,124.122,90,0.781,1.164,0.859,1.000
272,T-S_10K6;1r.tif:0272,13566,56.742,0,151,2348,1834,102,133,150.074,115.095,90,0.772,1.304,0.767,1.000
273,T-S_10K6;1r.tif:0273,14592,56.501,0,139,2232,1833,114,128,144.433,128.635,90,0.783,1.123,0.891,1.000
274,T-S_10K6;1r.tif:0274,11610,62.091,0,142,2144,1833,90,129,145.561,101.554,90,0.760,1.433,0.698,1.000
275,T-S_10K6;1r.tif:0275,11036,63.199,0,138,2087,1830,62,178,200.851,69.960,90,0.602,2.871,0.348,1.000
276,T-S_10K6;1r.tif:0276,3854,101.166,48,144,2046,1854,41,94,106.068,46.264,90,0.664,2.293,0.436,1.000
277,T-S_10K6;1r.tif:0277,15972,60.126,0,143,1914,1817,132,121,148.946,136.534,0,0.784,1.091,0.917,1.000
278,T-S_10K6;1r.tif:0278,4320,66.730,0,131,1883,1822,36,120,135.406,40.622,90,0.558,3.333,0.300,1.000
279,T-S_10K6;1r.tif:0279,12978,67.795,0,133,1775,1815,103,126,142.176,116.223,90,0.777,1.223,0.817,1.000
280,T-S_10K6;1r.tif:0280,16512,60.894,0,145,1638,1811,129,128,145.561,144.433,0,0.785,1.008,0.992,1.000
281,T-S_10K6;1r.tif:0281,7800,105.720,44,144,1560,1828,78,100,112.838,88.014,90,0.773,1.282,0.780,1.000
282,T-S_10K6;1r.tif:0282,13932,55.798,0,154,1452,1810,108,129,145.561,121.865,90,0.779,1.194,0.837,1.000
283,T-S_10K6;1r.tif:0283,12996,48.702,0,136,1349,1808,114,114,128.635,128.635,0,0.785,1.000,1.000,1.000
284,T-S_10K6;1r.tif:0284,16884,55.881,0,141,1218,1810,126,134,151.203,142.176,90,0.785,1.063,0.940,1.000
285,T-S_10K6;1r.tif:0285,15087,60.759,0,141,1163,1810,107,141,159.101,120.737,90,0.771,1.318,0.759,1.000
286,T-S_10K6;1r.tif:0286,1155,101.098,37,130,1142,1848,21,55,62.061,23.696,90,0.628,2.619,0.382,1.000
287,T-S_10K6;1r.tif:0287,13394,80.973,0,140,1068,1758,74,181,204.237,83.500,90,0.647,2.446,0.409,1.000
288,T-S_10K6;1r.tif:0288,2212,62.507,0,139,1045,1818,28,79,89.142,31.595,90,0.607,2.821,0.354,1.000
289,T-S_10K6;1r.tif:0289,8662,61.918,0,135,975,1804,71,122,137.662,80.115,90,0.731,1.718,0.582,1.000
290,T-S_10K6;1r.tif:0290,4536,53.515,0,135,942,1806,36,126,142.176,40.622,90,0.543,3.500,0.286,1.000
291,T-S_10K6;1r.tif:0291,16120,59.347,0,132,814,1799,124,130,146.689,139.919,90,0.785,1.048,0.954,1.000
292,T-S_10K6;1r.tif:0292,13455,60.245,0,198,4120,2021,115,117,132.020,129.764,90,0.785,1.017,0.983,1.000
293,T-S_10K6;1r.tif:0293,15456,67.795,0,212,4011,2030,112,138,155.716,126.378,90,0.777,1.232,0.812,1.000
294,T-S_10K6;1r.tif:0294,666,149.683,11,210,4005,2031,6,111,125.250,6.770,90,0.153,18.500,0.054,1.000
295,T-S_10K6;1r.tif:0295,12528,54.939,0,205,3897,2024,108,116,130.892,121.865,90,0.784,1.074,0.931,1.000
296,T-S_10K6;1r.tif:0296,12255,65.101,0,143,3796,2021,95,129,145.561,107.196,90,0.767,1.358,0.736,1.000
297,T-S_10K6;1r.tif:0297,14904,50.430,0,158,3677,2030,108,138,155.716,121.865,90,0.774,1.278,0.783,1.000
298,T-S_10K6;1r.tif:0298,5092,50.753,0,121,3659,2032,38,134,151.203,42.878,90,0.541,3.526,0.284,1.000
299,T-S_10K6;1r.tif:0299,4800,93.819,25,169,3595,2062,64,75,84.628,72.216,90,0.780,1.172,0.853,1.000
300,T-S_10K6;1r.tif:0300,5848,53.658,0,129,3552,2030,43,136,153.460,48.520,90,0.573,3.163,0.316,1.000
301,T-S_10K6;1r.tif:0301,16968,56.856,0,141,3472,1964,84,202,227.933,94.784,90,0.652,2.405,0.416,1.000
302,T-S_10K6;1r.tif:0302,11305,60.176,0,135,3393,2028,95,119,134.277,107.196,90,0.776,1.253,0.798,1.000
303,T-S_10K6;1r.tif:0303,15196,52.487,0,155,3261,2025,131,116,147.818,130.892,0,0.783,1.129,0.885,1.000
304,T-S_10K6;1r.tif:0304,14616,58.435,0,147,3207,2028,72,203,229.061,81.243,90,0.607,2.819,0.355,1.000
305,T-S_10K6;1r.tif:0305,2120,90.463,8,126,3186,2037,20,106,119.608,22.568,90,0.420,5.300,0.189,1.000
306,T-S_10K6;1r.tif:0306,13905,51.046,0,238,3084,2023,103,135,152.331,116.223,90,0.771,1.311,0.763,1.000
307,T-S_10K6;1r.tif:0307,11639,41.608,0,238,3002,2035,103,113,127.507,116.223,90,0.784,1.097,0.912,1.000
308,T-S_10K6;1r.tif:0308,10320,46.885,0,136,2946,2029,80,129,145.561,90.270,90,0.742,1.612,0.620,1.000
309,T-S_10K6;1r.tif:0309,13938,53.783,0,154,2865,2027,101,138,155.716,113.966,90,0.767,1.366,0.732,1.000
310,T-S_10K6;1r.tif:0310,5952,101.618,24,143,2801,2033,64,93,104.939,72.216,90,0.759,1.453,0.688,1.000
311,T-S_10K6;1r.tif:0311,13216,51.507,0,142,2689,2025,112,118,133.149,126.378,90,0.785,1.054,0.949,1.000
312,T-S_10K6;1r.tif:0312,11730,59.008,0,146,2594,2027,102,115,129.764,115.095,90,0.783,1.127,0.887,1.000
313,T-S_10K6;1r.tif:0313,14874,54.270,0,194,2483,2023,111,134,151.203,125.250,90,0.778,1.207,0.828,1.000
314,T-S_10K6;1r.tif:0314,17780,54.224,0,165,2364,2019,127,140,157.973,143.304,90,0.784,1.102,0.907,1.000
315,T-S_10K6;1r.tif:0315,7784,64.764,0,144,2341,2017,56,139,156.845,63.189,90,0.643,2.482,0.403,1.000
316,T-S_10K6;1r.tif:0316,7910,105.292,45,146,2271,2035,70,113,127.507,78.987,90,0.742,1.614,0.619,1.000
317,T-S_10K6;1r.tif:0317,6721,56.828,0,143,2224,2023,47,143,161.358,53.034,90,0.585,3.043,0.329,1.000
318,T-S_10K6;1r.tif:0318,4158,56.292,0,127,2172,2018,42,99,111.710,47.392,90,0.657,2.357,0.424,1.000
319,T-S_10K6;1r.tif:0319,14484,61.108,0,148,2066,2014,102,142,160.230,115.095,90,0.764,1.392,0.718,1.000
320,T-S_10K6;1r.tif:0320,3690,62.257,0,144,2032,2017,45,82,92.527,50.777,90,0.719,1.822,0.549,1.000
321,T-S_10K6;1r.tif:0321,11396,54.382,0,148,1951,2013,77,148,167.000,86.885,90,0.707,1.922,0.520,1.000
322,T-S_10K6;1r.tif:0322,6533,59.865,0,142,1929,2015,47,139,156.845,53.034,90,0.593,2.957,0.338,1.000
323,T-S_10K6;1r.tif:0323,2464,94.783,53,122,1897,2053,32,77,86.885,36.108,90,0.652,2.406,0.416,1.000
324,T-S_10K6;1r.tif:0324,13482,53.608,0,132,1790,2016,107,126,142.176,120.737,90,0.780,1.178,0.849,1.000
325,T-S_10K6;1r.tif:0325,5535,45.824,0,137,1665,2020,45,123,138.791,50.777,90,0.616,2.733,0.366,1.000
326,T-S_10K6;1r.tif:0326,19950,51.017,0,137,1660,2019,150,133,169.257,150.074,0,0.783,1.128,0.887,1.000
327,T-S_10K6;1r.tif:0327,8526,40.698,0,135,1607,2016,58,147,165.872,65.446,90,0.637,2.534,0.395,1.000
328,T-S_10K6;1r.tif:0328,12880,43.299,0,127,1533,2020,92,140,157.973,103.811,90,0.752,1.522,0.657,1.000
329,T-S_10K6;1r.tif:0329,3186,100.111,40,133,1479,2062,54,59,66.574,60.932,90,0.784,1.093,0.915,1.000
330,T-S_10K6;1r.tif:0330,6560,55.139,0,136,1439,2009,40,164,185.054,45.135,90,0.495,4.100,0.244,1.000
331,T-S_10K6;1r.tif:0331,3784,52.235,0,131,1384,2015,43,88,99.297,48.520,90,0.693,2.047,0.489,1.000
332,T-S_10K6;1r.tif:0332,16244,63.986,0,134,1246,1996,124,131,147.818,139.919,90,0.785,1.056,0.947,1.000
333,T-S_10K6;1r.tif:0333,6300,55.223,0,138,1098,1998,42,150,169.257,47.392,90,0.537,3.571,0.280,1.000
334,T-S_10K6;1r.tif:0334,28000,66.476,0,150,1072,1999,175,160,197.466,180.541,0,0.784,1.094,0.914,1.000
335,T-S_10K6;1r.tif:0335,589,47.526,0,119,1051,2027,19,31,34.980,21.439,90,0.740,1.632,0.613,1.000
336,T-S_10K6;1r.tif:0336,5704,109.202,75,139,980,2074,92,62,103.811,69.960,0,0.756,1.484,0.674,1.000
337,T-S_10K6;1r.tif:0337,2343,101.542,57,125,980,2028,71,33,80.115,37.237,0,0.681,2.152,0.465,1.000
338,T-S_10K6;1r.tif:0338,14288,64.442,0,133,886,1981,94,152,171.514,106.068,90,0.742,1.617,0.618,1.000
339,T-S_10K6;1r.tif:0339,4896,56.649,0,132,843,1997,51,96,108.324,57.547,90,0.712,1.882,0.531,1.000
340,T-S_10K6;1r.tif:0340,150,52.033,0,117,4220,2287,10,15,16.926,11.284,90,0.754,1.500,0.667,1.000
341,T-S_10K6;1r.tif:0341,14278,56.025,0,145,4114,2226,121,118,136.534,133.149,0,0.785,1.025,0.975,1.000
342,T-S_10K6;1r.tif:0342,130,45.500,0,104,4055,2300,10,13,14.669,11.284,90,0.772,1.300,0.769,1.000
343,T-S_10K6;1r.tif:0343,9177,48.829,0,134,4033,2227,69,133,150.074,77.858,90,0.707,1.928,0.519,1.000
344,T-S_10K6;1r.tif:0344,16284,58.454,0,205,3903,2223,138,118,155.716,133.149,0,0.781,1.169,0.855,1.000
345,T-S_10K6;1r.tif:0345,2886,55.196,0,149,3866,2232,39,74,83.500,44.007,90,0.710,1.897,0.527,1.000
346,T-S_10K6;1r.tif:0346,13365,51.862,0,204,3770,2227,99,135,152.331,111.710,90,0.767,1.364,0.733,1.000
347,T-S_10K6;1r.tif:0347,7560,88.151,5,164,3700,2257,70,108,121.865,78.987,90,0.750,1.543,0.648,1.000
348,T-S_10K6;1r.tif:0348,11124,44.303,0,136,3597,2244,103,108,121.865,116.223,90,0.785,1.049,0.954,1.000
349,T-S_10K6;1r.tif:0349,15960,60.076,0,144,3454,2251,140,114,157.973,128.635,0,0.777,1.228,0.814,1.000
350,T-S_10K6;1r.tif:0350,3612,48.380,0,126,3412,2262,43,84,94.784,48.520,90,0.704,1.953,0.512,1.000
351,T-S_10K6;1r.tif:0351,15930,47.144,0,173,3288,2261,118,135,152.331,133.149,90,0.782,1.144,0.874,1.000
352,T-S_10K6;1r.tif:0352,4233,45.300,0,120,3238,2261,51,83,93.655,57.547,90,0.741,1.627,0.614,1.000
353,T-S_10K6;1r.tif:0353,14500,45.511,0,220,3153,2260,100,145,163.615,112.838,90,0.759,1.450,0.690,1.000
354,T-S_10K6;1r.tif:0354,4428,77.951,29,122,3112,2280,41,108,121.865,46.264,90,0.627,2.634,0.380,1.000
355,T-S_10K6;1r.tif:0355,11556,46.914,0,167,3005,2247,107,108,121.865,120.737,90,0.785,1.009,0.991,1.000
356,T-S_10K6;1r.tif:0356,14416,52.035,0,162,2918,2248,106,136,153.460,119.608,90,0.773,1.283,0.779,1.000
357,T-S_10K6;1r.tif:0357,10962,107.863,8,151,2831,2254,87,126,142.176,98.169,90,0.759,1.448,0.690,1.000
358,T-S_10K6;1r.tif:0358,6006,67.550,0,165,2789,2236,42,143,161.358,47.392,90,0.551,3.405,0.294,1.000
359,T-S_10K6;1r.tif:0359,3237,70.466,0,143,2741,2244,39,83,93.655,44.007,90,0.683,2.128,0.470,1.000
360,T-S_10K6;1r.tif:0360,16128,65.204,0,180,2596,2233,128,126,144.433,142.176,0,0.785,1.016,0.984,1.000
361,T-S_10K6;1r.tif:0361,5022,53.168,0,137,2559,2240,54,93,104.939,60.932,90,0.730,1.722,0.581,1.000
362,T-S_10K6;1r.tif:0362,8792,59.183,0,182,2515,2239,56,157,177.156,63.189,90,0.609,2.804,0.357,1.000
363,T-S_10K6;1r.tif:0363,5605,92.389,20,147,2456,2260,59,95,107.196,66.574,90,0.742,1.610,0.621,1.000
364,T-S_10K6;1r.tif:0364,11960,50.371,0,185,2364,2234,92,130,146.689,103.811,90,0.762,1.413,0.708,1.000
365,T-S_10K6;1r.tif:0365,5311,61.308,0,140,2217,2234,47,113,127.507,53.034,90,0.652,2.404,0.416,1.000
366,T-S_10K6;1r.tif:0366,24016,64.236,0,202,2212,2238,158,152,178.284,171.514,0,0.785,1.039,0.962,1.000
367,T-S_10K6;1r.tif:0367,12160,69.728,0,148,2110,2231,95,128,144.433,107.196,90,0.768,1.347,0.742,1.000
368,T-S_10K6;1r.tif:0368,3784,55.346,0,138,2065,2234,44,86,97.041,49.649,90,0.703,1.955,0.512,1.000
369,T-S_10K6;1r.tif:0369,16614,60.581,0,153,1957,2235,117,142,160.230,132.020,90,0.778,1.214,0.824,1.000
370,T-S_10K6;1r.tif:0370,8362,104.977,13,150,1883,2243,74,113,127.507,83.500,90,0.751,1.527,0.655,1.000
371,T-S_10K6;1r.tif:0371,5977,60.192,0,141,1840,2231,43,139,156.845,48.520,90,0.567,3.233,0.309,1.000
372,T-S_10K6;1r.tif:0372,14453,43.484,0,135,1737,2216,97,149,168.128,109.453,90,0.750,1.536,0.651,1.000
373,T-S_10K6;1r.tif:0373,4324,49.775,0,130,1690,2230,47,92,103.811,53.034,90,0.703,1.957,0.511,1.000
374,T-S_10K6;1r.tif:0374,18048,56.566,0,166,1559,2233,128,141,159.101,144.433,90,0.784,1.102,0.908,1.000
375,T-S_10K6;1r.tif:0375,18759,52.617,0,138,1449,2227,111,169,190.696,125.250,90,0.752,1.523,0.657,1.000
376,T-S_10K6;1r.tif:0376,19890,56.517,0,159,1331,2227,153,130,172.642,146.689,0,0.780,1.177,0.850,1.000
377,T-S_10K6;1r.tif:0377,19591,63.550,0,137,1183,2227,143,137,161.358,154.588,0,0.785,1.044,0.958,1.000
378,T-S_10K6;1r.tif:0378,6322,67.200,0,130,1118,2218,58,109,122.993,65.446,90,0.712,1.879,0.532,1.000
379,T-S_10K6;1r.tif:0379,19240,60.865,0,140,1000,2224,130,148,167.000,146.689,90,0.782,1.138,0.878,1.000
380,T-S_10K6;1r.tif:0380,5913,100.862,33,132,919,2250,81,73,91.399,82.372,0,0.783,1.110,0.901,1.000
381,T-S_10K6;1r.tif:0381,10580,61.857,0,127,827,2214,92,115,129.764,103.811,90,0.776,1.250,0.800,1.000
382,T-S_10K6;1r.tif:0382,9086,63.748,0,141,752,2212,77,118,133.149,86.885,90,0.751,1.532,0.653,1.000
383,T-S_10K6;1r.tif:0383,30056,77.437,0,137,664,2214,136,221,249.372,153.460,90,0.741,1.625,0.615,1.000
384,T-S_10K6;1r.tif:0384,17544,55.493,0,141,4108,2430,136,129,153.460,145.561,0,0.785,1.054,0.949,1.000
385,T-S_10K6;1r.tif:0385,6396,45.441,0,132,4062,2445,52,123,138.791,58.676,90,0.656,2.365,0.423,1.000
386,T-S_10K6;1r.tif:0386,2814,39.066,0,154,4021,2446,42,67,75.601,47.392,90,0.744,1.595,0.627,1.000
387,T-S_10K6;1r.tif:0387,13770,36.419,0,165,3932,2444,102,135,152.331,115.095,90,0.770,1.324,0.756,1.000
388,T-S_10K6;1r.tif:0388,1330,61.505,20,93,3913,2496,19,70,78.987,21.439,90,0.527,3.684,0.271,1.000
389,T-S_10K6;1r.tif:0389,19560,47.693,0,121,3750,2461,163,120,183.926,135.406,0,0.767,1.358,0.736,1.000
390,T-S_10K6;1r.tif:0390,14278,54.696,0,136,3702,2449,118,121,136.534,133.149,90,0.785,1.025,0.975,1.000
391,T-S_10K6;1r.tif:0391,10858,79.298,0,160,3613,2453,89,122,137.662,100.426,90,0.766,1.371,0.730,1.000
392,T-S_10K6;1r.tif:0392,3772,78.241,0,150,3572,2462,46,82,92.527,51.905,90,0.723,1.783,0.561,1.000
393,T-S_10K6;1r.tif:0393,15846,64.147,0,136,3468,2458,114,139,156.845,128.635,90,0.778,1.219,0.820,1.000
394,T-S_10K6;1r.tif:0394,5406,97.404,44,142,3417,2470,51,106,119.608,57.547,90,0.689,2.078,0.481,1.000
395,T-S_10K6;1r.tif:0395,6435,64.581,0,130,3372,2458,45,143,161.358,50.777,90,0.572,3.178,0.315,1.000
396,T-S_10K6;1r.tif:0396,3444,52.231,0,132,3325,2466,42,82,92.527,47.392,90,0.704,1.952,0.512,1.000
397,T-S_10K6;1r.tif:0397,12255,48.657,0,162,3228,2467,95,129,145.561,107.196,90,0.767,1.358,0.736,1.000
398,T-S_10K6;1r.tif:0398,10614,48.269,0,147,3176,2475,58,183,206.493,65.446,90,0.574,3.155,0.317,1.000
399,T-S_10K6;1r.tif:0399,4356,83.892,20,123,3132,2472,44,99,111.710,49.649,90,0.669,2.250,0.444,1.000
400,T-S_10K6;1r.tif:0400,13500,45.100,0,175,3024,2466,108,125,141.047,121.865,90,0.781,1.157,0.864,1.000
401,T-S_10K6;1r.tif:0401,18063,68.378,0,212,2940,2382,81,223,251.629,91.399,90,0.614,2.753,0.363,1.000
402,T-S_10K6;1r.tif:0402,4512,96.664,45,131,2893,2467,47,96,108.324,53.034,90,0.693,2.043,0.490,1.000
403,T-S_10K6;1r.tif:0403,12760,45.629,0,134,2777,2453,116,110,130.892,124.122,0,0.785,1.055,0.948,1.000
404,T-S_10K6;1r.tif:0404,22785,73.159,0,146,2696,2357,93,245,276.453,104.939,90,0.627,2.634,0.380,1.000
405,T-S_10K6;1r.tif:0405,6090,96.581,47,137,2638,2461,58,105,118.480,65.446,90,0.720,1.810,0.552,1.000
406,T-S_10K6;1r.tif:0406,13516,52.099,0,136,2529,2455,109,124,139.919,122.993,90,0.782,1.138,0.879,1.000
407,T-S_10K6;1r.tif:0407,14520,48.980,0,143,2401,2464,121,120,136.534,135.406,0,0.785,1.008,0.992,1.000
408,T-S_10K6;1r.tif:0408,16874,56.643,0,145,2297,2444,143,118,161.358,133.149,0,0.778,1.212,0.825,1.000
409,T-S_10K6;1r.tif:0409,3124,52.523,0,144,2254,2461,44,71,80.115,49.649,90,0.742,1.614,0.620,1.000
410,T-S_10K6;1r.tif:0410,12285,52.527,0,144,2150,2447,105,117,132.020,118.480,90,0.783,1.114,0.897,1.000
411,T-S_10K6;1r.tif:0411,14472,54.957,0,143,2058,2446,108,134,151.203,121.865,90,0.776,1.241,0.806,1.000
412,T-S_10K6;1r.tif:0412,3564,107.026,49,143,2022,2447,36,99,111.710,40.622,90,0.614,2.750,0.364,1.000
413,T-S_10K6;1r.tif:0413,11919,53.498,0,151,1935,2433,87,137,154.588,98.169,90,0.746,1.575,0.635,1.000
414,T-S_10K6;1r.tif:0414,4067,54.936,0,138,1900,2438,49,83,93.655,55.291,90,0.733,1.694,0.590,1.000
415,T-S_10K6;1r.tif:0415,4140,100.371,19,155,1864,2447,36,115,129.764,40.622,90,0.570,3.194,0.313,1.000
416,T-S_10K6;1r.tif:0416,11557,45.289,0,138,1773,2444,91,127,143.304,102.683,90,0.764,1.396,0.717,1.000
417,T-S_10K6;1r.tif:0417,20604,63.292,0,193,1682,2362,101,204,230.189,113.966,90,0.696,2.020,0.495,1.000
418,T-S_10K6;1r.tif:0418,12220,46.604,0,122,1625,2440,94,130,146.689,106.068,90,0.765,1.383,0.723,1.000
419,T-S_10K6;1r.tif:0419,4224,92.385,50,123,1577,2458,48,88,99.297,54.162,90,0.717,1.833,0.545,1.000
420,T-S_10K6;1r.tif:0420,15930,51.420,0,150,1442,2429,135,118,152.331,133.149,0,0.782,1.144,0.874,1.000
421,T-S_10K6;1r.tif:0421,18860,54.778,0,154,1348,2357,92,205,231.318,103.811,90,0.672,2.228,0.449,1.000
