 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
43,T-S_10K6;1r.tif:0043,3128,53.599,0,127,3655,816,46,68,76.730,51.905,90,0.756,1.478,0.676,1.000
44,T-S_10K6;1r.tif:0044,11160,56.621,0,145,3566,823,90,124,139.919,101.554,90,0.766,1.378,0.726,1.000
45,T-S_10K6;1r.tif:0045,5187,111.702,51,164,3509,839,57,91,102.683,64.318,90,0.744,1.596,0.626,1.000
46,T-S_10K6;1r.tif:0046,17220,85.698,0,175,3427,741,82,210,236.960,92.527,90,0.634,2.561,0.390,1.000
47,T-S_10K6;1r.tif:0047,5336,64.116,0,155,3386,824,46,116,130.892,51.905,90,0.639,2.522,0.397,1.000
48,T-S_10K6;1r.tif:0048,3434,110.315,41,143,3352,832,34,101,113.966,38.365,90,0.592,2.971,0.337,1.000
49,T-S_10K6;1r.tif:0049,24900,72.436,0,164,3186,807,166,150,187.311,169.257,0,0.783,1.107,0.904,1.000
50,T-S_10K6;1r.tif:0050,12876,59.911,0,164,3143,797,87,148,167.000,98.169,90,0.732,1.701,0.588,1.000
51,T-S_10K6;1r.tif:0051,4223,112.372,51,167,3102,820,41,103,116.223,46.264,90,0.640,2.512,0.398,1.000
52,T-S_10K6;1r.tif:0052,9675,57.201,0,147,3027,812,75,129,145.561,84.628,90,0.730,1.720,0.581,1.000
53,T-S_10K6;1r.tif:0053,29298,88.930,0,211,2912,716,114,257,289.993,128.635,90,0.669,2.254,0.444,1.000
54,T-S_10K6;1r.tif:0054,1599,114.327,28,159,2899,796,13,123,138.791,14.669,90,0.272,9.462,0.106,1.000
55,T-S_10K6;1r.tif:0055,14960,95.982,0,164,2789,813,110,136,153.460,124.122,90,0.777,1.236,0.809,1.000
56,T-S_10K6;1r.tif:0056,17136,74.645,0,177,2665,809,136,126,153.460,142.176,0,0.784,1.079,0.926,1.000
57,T-S_10K6;1r.tif:0057,18590,70.021,0,144,2531,806,130,143,161.358,146.689,90,0.784,1.100,0.909,1.000
58,T-S_10K6;1r.tif:0058,8541,108.025,26,165,2459,820,73,117,132.020,82.372,90,0.743,1.603,0.624,1.000
59,T-S_10K6;1r.tif:0059,4773,64.181,0,153,2421,816,37,129,145.561,41.750,90,0.544,3.486,0.287,1.000
60,T-S_10K6;1r.tif:0060,14448,61.387,0,154,2288,815,112,129,145.561,126.378,90,0.781,1.152,0.868,1.000
61,T-S_10K6;1r.tif:0061,13110,59.043,0,152,2168,814,114,115,129.764,128.635,90,0.785,1.009,0.991,1.000
62,T-S_10K6;1r.tif:0062,14416,46.275,0,151,2063,812,106,136,153.460,119.608,90,0.773,1.283,0.779,1.000
63,T-S_10K6;1r.tif:0063,15972,58.460,0,169,1964,810,121,132,148.946,136.534,90,0.784,1.091,0.917,1.000
64,T-S_10K6;1r.tif:0064,3780,107.071,61,144,1922,830,42,90,101.554,47.392,90,0.682,2.143,0.467,1.000
65,T-S_10K6;1r.tif:0065,3348,45.213,0,132,1886,806,36,93,104.939,40.622,90,0.632,2.583,0.387,1.000
66,T-S_10K6;1r.tif:0066,18487,61.545,0,158,1737,811,139,133,156.845,150.074,0,0.785,1.045,0.957,1.000
67,T-S_10K6;1r.tif:0067,19296,60.746,0,202,1637,802,144,134,162.487,151.203,0,0.784,1.075,0.931,1.000
68,T-S_10K6;1r.tif:0068,15678,71.763,0,208,1521,810,117,134,151.203,132.020,90,0.782,1.145,0.873,1.000
69,T-S_10K6;1r.tif:0069,5886,110.739,52,149,1467,815,54,109,122.993,60.932,90,0.696,2.019,0.495,1.000
70,T-S_10K6;1r.tif:0070,14790,65.271,0,155,1365,796,102,145,163.615,115.095,90,0.762,1.422,0.703,1.000
71,T-S_10K6;1r.tif:0071,10912,58.666,0,145,1302,800,88,124,139.919,99.297,90,0.763,1.409,0.710,1.000
72,T-S_10K6;1r.tif:0072,19360,83.507,0,189,1220,722,88,220,248.243,99.297,90,0.641,2.500,0.400,1.000
73,T-S_10K6;1r.tif:0073,2072,100.174,49,123,1192,816,28,74,83.500,31.595,90,0.626,2.643,0.378,1.000
74,T-S_10K6;1r.tif:0074,13493,60.970,0,131,1089,792,103,131,147.818,116.223,90,0.774,1.272,0.786,1.000
75,T-S_10K6;1r.tif:0075,8970,47.458,0,135,1024,790,65,138,155.716,73.345,90,0.684,2.123,0.471,1.000
76,T-S_10K6;1r.tif:0076,12648,53.953,0,136,967,785,93,136,153.460,104.939,90,0.758,1.462,0.684,1.000
77,T-S_10K6;1r.tif:0077,17334,82.264,0,147,854,787,107,162,182.797,120.737,90,0.753,1.514,0.660,1.000
78,T-S_10K6;1r.tif:0078,5665,80.470,0,143,824,780,55,103,116.223,62.061,90,0.713,1.873,0.534,1.000
79,T-S_10K6;1r.tif:0079,14823,87.094,0,151,763,778,81,183,206.493,91.399,90,0.668,2.259,0.443,1.000
80,T-S_10K6;1r.tif:0080,12690,60.077,0,170,4158,1007,94,135,152.331,106.068,90,0.760,1.436,0.696,1.000
81,T-S_10K6;1r.tif:0081,2485,53.670,0,143,4116,1028,35,71,80.115,39.493,90,0.695,2.029,0.493,1.000
82,T-S_10K6;1r.tif:0082,5472,107.546,47,156,4059,1058,57,96,108.324,64.318,90,0.734,1.684,0.594,1.000
83,T-S_10K6;1r.tif:0083,10647,61.200,0,142,3968,1041,91,117,132.020,102.683,90,0.773,1.286,0.778,1.000
84,T-S_10K6;1r.tif:0084,12688,54.545,0,145,3861,1043,104,122,137.662,117.351,90,0.780,1.173,0.852,1.000
85,T-S_10K6;1r.tif:0085,3663,59.025,0,138,3828,1045,33,111,125.250,37.237,90,0.555,3.364,0.297,1.000
86,T-S_10K6;1r.tif:0086,23265,65.123,0,192,3653,1032,165,141,186.183,159.101,0,0.781,1.170,0.855,1.000
87,T-S_10K6;1r.tif:0087,19092,68.016,0,155,3622,950,86,222,250.500,97.041,90,0.632,2.581,0.387,1.000
88,T-S_10K6;1r.tif:0088,14382,54.629,0,157,3546,1033,102,141,159.101,115.095,90,0.765,1.382,0.723,1.000
89,T-S_10K6;1r.tif:0089,4536,98.948,34,144,3504,1038,42,108,121.865,47.392,90,0.633,2.571,0.389,1.000
90,T-S_10K6;1r.tif:0090,13284,52.576,0,157,3396,1030,108,123,138.791,121.865,90,0.782,1.139,0.878,1.000
91,T-S_10K6;1r.tif:0091,17262,62.284,0,143,3260,1033,137,126,154.588,142.176,0,0.784,1.087,0.920,1.000
92,T-S_10K6;1r.tif:0092,11684,70.773,0,166,3159,1046,92,127,143.304,103.811,90,0.765,1.380,0.724,1.000
93,T-S_10K6;1r.tif:0093,3496,104.476,40,143,3121,1066,38,92,103.811,42.878,90,0.650,2.421,0.413,1.000
94,T-S_10K6;1r.tif:0094,18733,75.620,0,166,2978,1039,143,131,161.358,147.818,0,0.784,1.092,0.916,1.000
95,T-S_10K6;1r.tif:0095,6750,88.820,0,160,2974,1034,50,135,152.331,56.419,90,0.620,2.700,0.370,1.000
96,T-S_10K6;1r.tif:0096,12093,70.266,0,157,2889,1021,87,139,156.845,98.169,90,0.744,1.598,0.626,1.000
97,T-S_10K6;1r.tif:0097,5371,65.423,0,136,2838,1029,41,131,147.818,46.264,90,0.570,3.195,0.313,1.000
98,T-S_10K6;1r.tif:0098,14592,59.921,0,140,2700,1025,114,128,144.433,128.635,90,0.783,1.123,0.891,1.000
99,T-S_10K6;1r.tif:0099,10400,71.174,0,162,2646,1033,65,160,180.541,73.345,90,0.645,2.462,0.406,1.000
100,T-S_10K6;1r.tif:0100,9696,102.135,39,139,2550,1048,96,101,113.966,108.324,90,0.785,1.052,0.950,1.000
101,T-S_10K6;1r.tif:0101,14338,60.541,0,132,2443,1026,107,134,151.203,120.737,90,0.776,1.252,0.799,1.000
102,T-S_10K6;1r.tif:0102,11656,50.812,0,134,2342,1032,94,124,139.919,106.068,90,0.771,1.319,0.758,1.000
103,T-S_10K6;1r.tif:0103,20511,61.535,0,170,2210,1022,129,159,179.412,145.561,90,0.777,1.233,0.811,1.000
104,T-S_10K6;1r.tif:0104,4268,61.040,0,175,2193,1027,44,97,109.453,49.649,90,0.674,2.205,0.454,1.000
105,T-S_10K6;1r.tif:0105,16688,69.700,0,202,2076,1023,112,149,168.128,126.378,90,0.770,1.330,0.752,1.000
106,T-S_10K6;1r.tif:0106,4459,95.754,37,156,2027,1042,49,91,102.683,55.291,90,0.715,1.857,0.538,1.000
107,T-S_10K6;1r.tif:0107,18078,46.205,0,156,1896,1028,131,138,155.716,147.818,90,0.785,1.053,0.949,1.000
108,T-S_10K6;1r.tif:0108,12638,47.649,0,149,1836,1030,89,142,160.230,100.426,90,0.744,1.596,0.627,1.000
109,T-S_10K6;1r.tif:0109,4183,55.234,0,143,1826,1035,47,89,100.426,53.034,90,0.710,1.894,0.528,1.000
110,T-S_10K6;1r.tif:0110,8215,68.485,0,130,1770,1025,53,155,174.899,59.804,90,0.597,2.925,0.342,1.000
111,T-S_10K6;1r.tif:0111,3382,101.625,49,138,1732,1044,38,89,100.426,42.878,90,0.659,2.342,0.427,1.000
112,T-S_10K6;1r.tif:0112,14338,56.271,0,169,1625,1017,107,134,151.203,120.737,90,0.776,1.252,0.799,1.000
113,T-S_10K6;1r.tif:0113,3105,60.496,0,138,1575,1022,45,69,77.858,50.777,90,0.751,1.533,0.652,1.000
114,T-S_10K6;1r.tif:0114,13216,62.819,0,175,1457,1017,118,112,133.149,126.378,0,0.785,1.054,0.949,1.000
115,T-S_10K6;1r.tif:0115,10900,68.892,0,160,1355,1022,100,109,122.993,112.838,90,0.784,1.090,0.917,1.000
116,T-S_10K6;1r.tif:0116,12978,68.313,0,142,1260,1015,103,126,142.176,116.223,90,0.777,1.223,0.817,1.000
117,T-S_10K6;1r.tif:0117,25122,86.891,0,138,1147,918,106,237,267.426,119.608,90,0.671,2.236,0.447,1.000
118,T-S_10K6;1r.tif:0118,2618,108.571,52,135,1125,1020,22,119,134.277,24.824,90,0.414,5.409,0.185,1.000
119,T-S_10K6;1r.tif:0119,4050,58.999,0,141,1095,1018,30,135,152.331,33.851,90,0.467,4.500,0.222,1.000
120,T-S_10K6;1r.tif:0120,12416,59.324,0,138,992,1018,97,128,144.433,109.453,90,0.770,1.320,0.758,1.000
121,T-S_10K6;1r.tif:0121,10287,52.474,0,132,919,1026,81,127,143.304,91.399,90,0.747,1.568,0.638,1.000
122,T-S_10K6;1r.tif:0122,14260,65.740,0,137,859,1023,62,230,259.527,69.960,90,0.525,3.710,0.270,1.000
123,T-S_10K6;1r.tif:0123,7986,64.677,0,129,793,1016,66,121,136.534,74.473,90,0.717,1.833,0.545,1.000
124,T-S_10K6;1r.tif:0124,12500,60.926,0,139,694,1022,100,125,141.047,112.838,90,0.776,1.250,0.800,1.000
125,T-S_10K6;1r.tif:0125,6900,75.977,0,139,654,1021,46,150,169.257,51.905,90,0.564,3.261,0.307,1.000
126,T-S_10K6;1r.tif:0126,6204,90.575,0,165,4200,1197,44,141,159.101,49.649,90,0.569,3.205,0.312,1.000
127,T-S_10K6;1r.tif:0127,3240,69.153,0,153,4141,1210,45,72,81.243,50.777,90,0.744,1.600,0.625,1.000
128,T-S_10K6;1r.tif:0128,12972,72.436,0,156,4044,1211,92,141,159.101,103.811,90,0.751,1.533,0.652,1.000
129,T-S_10K6;1r.tif:0129,9563,61.262,0,172,3984,1216,73,131,147.818,82.372,90,0.722,1.795,0.557,1.000
130,T-S_10K6;1r.tif:0130,11520,56.723,0,159,3917,1219,90,128,144.433,101.554,90,0.762,1.422,0.703,1.000
131,T-S_10K6;1r.tif:0131,7104,103.136,27,155,3869,1216,48,148,167.000,54.162,90,0.581,3.083,0.324,1.000
132,T-S_10K6;1r.tif:0132,15405,73.917,0,157,3790,1138,79,195,220.034,89.142,90,0.645,2.468,0.405,1.000
133,T-S_10K6;1r.tif:0133,8532,65.157,0,146,3727,1224,79,108,121.865,89.142,90,0.767,1.367,0.731,1.000
134,T-S_10K6;1r.tif:0134,9945,69.726,0,142,3634,1214,85,117,132.020,95.912,90,0.766,1.376,0.726,1.000
135,T-S_10K6;1r.tif:0135,13490,61.516,0,147,3547,1203,95,142,160.230,107.196,90,0.755,1.495,0.669,1.000
136,T-S_10K6;1r.tif:0136,5750,93.494,26,153,3497,1225,50,115,129.764,56.419,90,0.664,2.300,0.435,1.000
137,T-S_10K6;1r.tif:0137,5712,61.902,0,150,3455,1221,42,136,153.460,47.392,90,0.566,3.238,0.309,1.000
138,T-S_10K6;1r.tif:0138,12222,57.269,0,148,3355,1231,97,126,142.176,109.453,90,0.772,1.299,0.770,1.000
139,T-S_10K6;1r.tif:0139,4387,46.897,0,133,3308,1230,41,107,120.737,46.264,90,0.629,2.610,0.383,1.000
