 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
886,T-S_10K6_1v.tif:0886:T-S_10K6_1v,7458,57.462,0,130,1048,3223,66,113,127.507,74.473,90,0.731,1.712,0.584,1.000
887,T-S_10K6_1v.tif:0887:T-S_10K6_1v,4250,57.293,0,119,1011,3226,50,85,95.912,56.419,90,0.733,1.700,0.588,1.000
888,T-S_10K6_1v.tif:0888:T-S_10K6_1v,2847,56.989,0,121,973,3229,39,73,82.372,44.007,90,0.713,1.872,0.534,1.000
889,T-S_10K6_1v.tif:0889:T-S_10K6_1v,4278,54.501,0,119,933,3232,46,93,104.939,51.905,90,0.696,2.022,0.495,1.000
890,T-S_10K6_1v.tif:0890:T-S_10K6_1v,8393,54.076,0,155,860,3228,77,109,122.993,86.885,90,0.762,1.416,0.706,1.000
891,T-S_10K6_1v.tif:0891:T-S_10K6_1v,2480,55.427,0,153,827,3229,40,62,69.960,45.135,90,0.749,1.550,0.645,1.000
892,T-S_10K6_1v.tif:0892:T-S_10K6_1v,7224,48.684,0,194,740,3226,84,86,97.041,94.784,90,0.785,1.024,0.977,1.000
893,T-S_10K6_1v.tif:0893:T-S_10K6_1v,8100,50.502,0,156,674,3224,81,100,112.838,91.399,90,0.777,1.235,0.810,1.000
894,T-S_10K6_1v.tif:0894:T-S_10K6_1v,3255,85.074,48,126,639,3227,35,93,104.939,39.493,90,0.624,2.657,0.376,1.000
895,T-S_10K6_1v.tif:0895:T-S_10K6_1v,4648,44.801,0,128,583,3232,56,83,93.655,63.189,90,0.756,1.482,0.675,1.000
896,T-S_10K6_1v.tif:0896:T-S_10K6_1v,1680,54.174,0,108,553,3237,30,56,63.189,33.851,90,0.714,1.867,0.536,1.000
897,T-S_10K6_1v.tif:0897:T-S_10K6_1v,1456,81.884,47,117,537,3233,16,91,102.683,18.054,90,0.400,5.688,0.176,1.000
898,T-S_10K6_1v.tif:0898:T-S_10K6_1v,4738,53.451,0,123,491,3230,46,103,116.223,51.905,90,0.670,2.239,0.447,1.000
899,T-S_10K6_1v.tif:0899:T-S_10K6_1v,6468,45.886,0,114,435,3233,66,98,110.581,74.473,90,0.755,1.485,0.673,1.000
900,T-S_10K6_1v.tif:0900:T-S_10K6_1v,14175,75.568,0,169,373,3131,75,189,213.264,84.628,90,0.639,2.520,0.397,1.000
901,T-S_10K6_1v.tif:0901:T-S_10K6_1v,5341,71.619,0,169,361,3233,49,109,122.993,55.291,90,0.672,2.224,0.450,1.000
902,T-S_10K6_1v.tif:0902:T-S_10K6_1v,4592,65.492,0,140,2884,3342,56,82,92.527,63.189,90,0.758,1.464,0.683,1.000
903,T-S_10K6_1v.tif:0903:T-S_10K6_1v,8178,77.951,0,135,2828,3292,58,141,159.101,65.446,90,0.649,2.431,0.411,1.000
904,T-S_10K6_1v.tif:0904:T-S_10K6_1v,470,95.234,67,120,2829,3367,10,47,53.034,11.284,90,0.454,4.700,0.213,1.000
905,T-S_10K6_1v.tif:0905:T-S_10K6_1v,5610,53.607,0,122,2763,3341,66,85,95.912,74.473,90,0.773,1.288,0.776,1.000
906,T-S_10K6_1v.tif:0906:T-S_10K6_1v,8585,68.852,0,126,2666,3343,101,85,113.966,95.912,0,0.780,1.188,0.842,1.000
907,T-S_10K6_1v.tif:0907:T-S_10K6_1v,5810,68.695,0,163,2607,3353,70,83,93.655,78.987,90,0.780,1.186,0.843,1.000
908,T-S_10K6_1v.tif:0908:T-S_10K6_1v,2520,116.615,81,161,2577,3353,30,84,94.784,33.851,90,0.609,2.800,0.357,1.000
909,T-S_10K6_1v.tif:0909:T-S_10K6_1v,5590,82.729,0,206,2512,3352,65,86,97.041,73.345,90,0.770,1.323,0.756,1.000
910,T-S_10K6_1v.tif:0910:T-S_10K6_1v,6880,85.956,0,215,2436,3353,80,86,97.041,90.270,90,0.784,1.075,0.930,1.000
911,T-S_10K6_1v.tif:0911:T-S_10K6_1v,6348,94.714,0,215,2378,3352,69,92,103.811,77.858,90,0.769,1.333,0.750,1.000
912,T-S_10K6_1v.tif:0912:T-S_10K6_1v,688,130.374,63,214,2372,3354,8,86,97.041,9.027,90,0.245,10.750,0.093,1.000
913,T-S_10K6_1v.tif:0913:T-S_10K6_1v,5925,76.177,0,215,2298,3358,75,79,89.142,84.628,90,0.785,1.053,0.949,1.000
914,T-S_10K6_1v.tif:0914:T-S_10K6_1v,1664,52.465,0,138,2273,3367,32,52,58.676,36.108,90,0.741,1.625,0.615,1.000
915,T-S_10K6_1v.tif:0915:T-S_10K6_1v,6715,71.125,0,127,2199,3362,79,85,95.912,89.142,90,0.784,1.076,0.929,1.000
916,T-S_10K6_1v.tif:0916:T-S_10K6_1v,1131,96.361,63,125,2186,3358,13,87,98.169,14.669,90,0.355,6.692,0.149,1.000
917,T-S_10K6_1v.tif:0917:T-S_10K6_1v,6643,58.217,0,125,2114,3354,73,91,102.683,82.372,90,0.776,1.247,0.802,1.000
918,T-S_10K6_1v.tif:0918:T-S_10K6_1v,6336,65.322,0,139,2049,3355,72,88,99.297,81.243,90,0.778,1.222,0.818,1.000
919,T-S_10K6_1v.tif:0919:T-S_10K6_1v,4661,62.982,0,131,1998,3360,59,79,89.142,66.574,90,0.769,1.339,0.747,1.000
920,T-S_10K6_1v.tif:0920:T-S_10K6_1v,5766,55.911,0,138,1946,3356,62,93,104.939,69.960,90,0.754,1.500,0.667,1.000
921,T-S_10K6_1v.tif:0921:T-S_10K6_1v,6794,68.794,0,141,1871,3362,79,86,97.041,89.142,90,0.784,1.089,0.919,1.000
922,T-S_10K6_1v.tif:0922:T-S_10K6_1v,3382,102.662,58,139,1833,3364,38,89,100.426,42.878,90,0.659,2.342,0.427,1.000
