 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
995,T-S_10K6_1v.tif:0995:T-S_10K6_1v,3458,69.971,0,135,660,3536,38,91,102.683,42.878,90,0.653,2.395,0.418,1.000
996,T-S_10K6_1v.tif:0996:T-S_10K6_1v,1330,91.786,35,142,646,3537,14,95,107.196,15.797,90,0.352,6.786,0.147,1.000
997,T-S_10K6_1v.tif:0997:T-S_10K6_1v,7592,65.104,0,140,573,3535,73,104,117.351,82.372,90,0.761,1.425,0.702,1.000
998,T-S_10K6_1v.tif:0998:T-S_10K6_1v,6664,64.639,0,160,510,3535,68,98,110.581,76.730,90,0.760,1.441,0.694,1.000
999,T-S_10K6_1v.tif:add0001:T-S_10K6_1v,616,62.919,0,122,2390,2695,14,44,49.649,15.797,90,0.575,3.143,0.318,1.000
1000,T-S_10K6_1v.tif:add0002:T-S_10K6_1v,1600,51.730,0,126,2242,2709,32,50,56.419,36.108,90,0.748,1.562,0.640,1.000
1001,T-S_10K6_1v.tif:add0003:T-S_10K6_1v,864,47.512,0,120,2134,2699,16,54,60.932,18.054,90,0.554,3.375,0.296,1.000
1002,T-S_10K6_1v.tif:add0004:T-S_10K6_1v,1160,77.361,0,131,1607,3295,29,40,45.135,32.723,90,0.765,1.379,0.725,1.000
1003,T-S_10K6_1v.tif:add0005:T-S_10K6_1v,420,85.619,0,133,1741,3306,12,35,39.493,13.541,90,0.597,2.917,0.343,1.000
1004,T-S_10K6_1v.tif:add0006:T-S_10K6_1v,341,22.469,0,117,805,714,11,31,34.980,12.412,90,0.607,2.818,0.355,1.000
1005,T-S_10K6_1v.tif:add0007:T-S_10K6_1v,312,56.013,0,118,1405,2103,13,24,27.081,14.669,90,0.716,1.846,0.542,1.000
1006,T-S_10K6_1v.tif:add0008:T-S_10K6_1v,192,70.474,0,122,1289,2132,12,16,18.054,13.541,90,0.769,1.333,0.750,1.000
1007,T-S_10K6_1v.tif:add0009:T-S_10K6_1v,2484,46.569,0,128,1603,2390,46,54,60.932,51.905,90,0.780,1.174,0.852,1.000
1008,T-S_10K6_1v.tif:0001-0511-2715:T-S_10K6_1v,940,115.143,64,143,2705,488,20,47,53.034,22.568,90,0.658,2.350,0.426,1.000
1009,T-S_10K6_1v.tif:0001-0623-0847:T-S_10K6_1v,4161,156.485,0,222,811,595,73,57,82.372,64.318,0,0.774,1.281,0.781,1.000
1010,T-S_10K6_1v.tif:0001-1016-2561:T-S_10K6_1v,2520,122.021,0,208,2539,988,45,56,63.189,50.777,90,0.776,1.244,0.804,1.000
1011,T-S_10K6_1v.tif:0001-1067-2769:T-S_10K6_1v,986,117.962,40,189,2752,1053,34,29,38.365,32.723,0,0.780,1.172,0.853,1.000
1012,T-S_10K6_1v.tif:0001-1068-2396:T-S_10K6_1v,3876,135.801,0,215,2368,1034,57,68,76.730,64.318,90,0.779,1.193,0.838,1.000
1013,T-S_10K6_1v.tif:0001-1309-1329:T-S_10K6_1v,2530,73.678,0,196,1306,1282,46,55,62.061,51.905,90,0.779,1.196,0.836,1.000
1014,T-S_10K6_1v.tif:0001-1244-1083:T-S_10K6_1v,2214,155.379,88,220,1063,1217,41,54,60.932,46.264,90,0.771,1.317,0.759,1.000
1015,T-S_10K6_1v.tif:0001-1288-0996:T-S_10K6_1v,2745,102.359,0,213,966,1266,61,45,68.831,50.777,0,0.768,1.356,0.738,1.000
1016,T-S_10K6_1v.tif:0001-1237-1005:T-S_10K6_1v,1054,119.538,0,198,988,1222,34,31,38.365,34.980,0,0.784,1.097,0.912,1.000
1017,T-S_10K6_1v.tif:0001-1491-0675:T-S_10K6_1v,5432,109.964,0,222,627,1463,97,56,109.453,63.189,0,0.729,1.732,0.577,1.000
1018,T-S_10K6_1v.tif:0001-1515-0591:T-S_10K6_1v,4030,151.039,0,226,560,1483,62,65,73.345,69.960,90,0.785,1.048,0.954,1.000
1019,T-S_10K6_1v.tif:0001-1555-0496:T-S_10K6_1v,9150,123.113,0,231,459,1494,75,122,137.662,84.628,90,0.741,1.627,0.615,1.000
1020,T-S_10K6_1v.tif:0001-1522-0434:T-S_10K6_1v,2562,143.994,0,224,413,1492,42,61,68.831,47.392,90,0.759,1.452,0.689,1.000
1021,T-S_10K6_1v.tif:0001-1556-0359:T-S_10K6_1v,1287,123.144,0,214,340,1540,39,33,44.007,37.237,0,0.780,1.182,0.846,1.000
1022,T-S_10K6_1v.tif:0001-2352-0447:T-S_10K6_1v,28896,106.814,31,188,297,2304,301,96,339.642,108.324,0,0.576,3.135,0.319,1.000
1023,T-S_10K6_1v.tif:0001-2478-0454:T-S_10K6_1v,3040,129.771,0,228,435,2438,38,80,90.270,42.878,90,0.686,2.105,0.475,1.000
1024,T-S_10K6_1v.tif:0001-2483-0399:T-S_10K6_1v,4560,148.355,0,232,369,2445,60,76,85.757,67.703,90,0.775,1.267,0.789,1.000
1025,T-S_10K6_1v.tif:0001-2525-2305:T-S_10K6_1v,840,55.069,0,165,2288,2513,35,24,39.493,27.081,0,0.758,1.458,0.686,1.000
1026,T-S_10K6_1v.tif:0001-2573-1749:T-S_10K6_1v,4550,130.531,0,220,1724,2528,50,91,102.683,56.419,90,0.719,1.820,0.549,1.000
1027,T-S_10K6_1v.tif:0001-2570-2232:T-S_10K6_1v,4288,137.214,0,214,2200,2537,64,67,75.601,72.216,90,0.785,1.047,0.955,1.000
1028,T-S_10K6_1v.tif:0001-2968-0877:T-S_10K6_1v,15656,80.532,0,223,774,2930,206,76,232.446,85.757,0,0.618,2.711,0.369,1.000
1029,T-S_10K6_1v.tif:0001-3090-2114:T-S_10K6_1v,2494,71.850,0,209,2085,3069,58,43,65.446,48.520,0,0.768,1.349,0.741,1.000
1030,T-S_10K6_1v.tif:0001-3046-2163:T-S_10K6_1v,2091,114.483,0,211,2143,3021,41,51,57.547,46.264,90,0.776,1.244,0.804,1.000
1031,T-S_10K6_1v.tif:0001-3056-2447:T-S_10K6_1v,1224,111.415,0,198,2430,3038,34,36,40.622,38.365,90,0.785,1.059,0.944,1.000
1032,T-S_10K6_1v.tif:0001-3087-2594:T-S_10K6_1v,2520,75.545,0,199,2549,3073,90,28,101.554,31.595,0,0.569,3.214,0.311,1.000
1033,T-S_10K6_1v.tif:0001-3319-2615:T-S_10K6_1v,6480,147.198,0,219,2575,3279,80,81,91.399,90.270,90,0.785,1.012,0.988,1.000
1034,T-S_10K6_1v.tif:0001-3407-2546:T-S_10K6_1v,2745,96.784,0,206,2516,3385,61,45,68.831,50.777,0,0.768,1.356,0.738,1.000
1035,T-S_10K6_1v.tif:0001-3397-2406:T-S_10K6_1v,14973,88.419,0,215,2298,3363,217,69,244.858,77.858,0,0.575,3.145,0.318,1.000
1036,T-S_10K6_1v.tif:0001-3415-1014:T-S_10K6_1v,22770,86.482,0,217,911,3360,207,110,233.574,124.122,0,0.712,1.882,0.531,1.000
1037,T-S_10K6_1v.tif:0001-3559-0935:T-S_10K6_1v,56496,72.646,0,216,507,3526,856,66,965.893,74.473,0,0.209,12.970,0.077,1.000
1038,T-S_10K6_1v.tif:0001-3571-2001:T-S_10K6_1v,9594,93.134,0,220,1962,3510,78,123,138.791,88.014,90,0.746,1.577,0.634,1.000
1039,T-S_10K6_1v.tif:0001-3562-2369:T-S_10K6_1v,4020,96.722,0,216,2339,3529,60,67,75.601,67.703,90,0.783,1.117,0.896,1.000
1040,T-S_10K6_1v.tif:0001-3533-2267:T-S_10K6_1v,1295,62.890,0,182,2249,3516,37,35,41.750,39.493,0,0.785,1.057,0.946,1.000
1041,T-S_10K6_1v.tif:0001-3688-2929:T-S_10K6_1v,694112,125.355,0,230,2493,3290,872,796,983.947,898.190,0,0.784,1.095,0.913,1.000
1042,T-S_10K6_1v.tif:0001-3174-0314:T-S_10K6_1v,812,122.511,48,177,300,3160,29,28,32.723,31.595,0,0.785,1.036,0.966,1.000
1043,T-S_10K6_1v.tif:0001-3295-0330:T-S_10K6_1v,572,125.505,49,165,319,3282,22,26,29.338,24.824,90,0.780,1.182,0.846,1.000
1044,T-S_10K6_1v.tif:0001-2892-2072:T-S_10K6_1v,2064,99.581,0,206,2048,2871,48,43,54.162,48.520,0,0.783,1.116,0.896,1.000
1045,T-S_10K6_1v.tif:0001-2151-0319:T-S_10K6_1v,104139,102.628,0,255,44,2057,551,189,621.737,213.264,0,0.597,2.915,0.343,1.000
1046,T-S_10K6_1v.tif:0001-2034-0686:T-S_10K6_1v,15801,74.262,0,201,572,2000,229,69,258.399,77.858,0,0.559,3.319,0.301,1.000
1047,T-S_10K6_1v.tif:0001-1988-1699:T-S_10K6_1v,3584,126.539,0,213,1667,1960,64,56,72.216,63.189,0,0.782,1.143,0.875,1.000
1048,T-S_10K6_1v.tif:0001-1812-1730:T-S_10K6_1v,1620,109.434,0,165,1708,1794,45,36,50.777,40.622,0,0.776,1.250,0.800,1.000
1049,T-S_10K6_1v.tif:0001-1796-0555:T-S_10K6_1v,10098,124.079,0,228,479,1763,153,66,172.642,74.473,0,0.661,2.318,0.431,1.000
1050,T-S_10K6_1v.tif:0001-1210-0224:T-S_10K6_1v,2240,158.305,85,224,196,1190,56,40,63.189,45.135,0,0.764,1.400,0.714,1.000
1051,T-S_10K6_1v.tif:0001-0775-0331:T-S_10K6_1v,625,111.357,51,160,319,763,25,25,28.209,28.209,0,0.785,1.000,1.000,1.000
1052,T-S_10K6_1v.tif:0001-0917-0339:T-S_10K6_1v,675,130.801,37,181,327,904,25,27,30.466,28.209,90,0.784,1.080,0.926,1.000
1053,T-S_10K6_1v.tif:0001-0741-2244:T-S_10K6_1v,2420,125.290,0,215,2222,714,44,55,62.061,49.649,90,0.776,1.250,0.800,1.000
1054,T-S_10K6_1v.tif:0001-2112-1704:T-S_10K6_1v,13402840,104.302,0,255,44,94,3320,4037,4555.267,3746.219,90,0.778,1.216,0.822,1.000
1055,T-S_10K6_1v.tif:1652-3199:T-S_10K6_1v,386400,134.686,0,222,3059,962,280,1380,1557.163,315.946,90,0.441,4.929,0.203,1.000
