 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
28,28,age,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-age.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-age.html</a>,1,namesdates,tagging dates of ages in legal texts,,yes,
29,29,alt,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alt.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alt.html</a>,1,linking,theoretical changes in scribal production,,yes,
30,30,alternate,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alternate.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alternate.html</a>,,tagdocs,,,,
31,31,altGrp,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altGrp.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altGrp.html</a>,Maybe,linking,,,,
32,32,altIdent,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdent.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdent.html</a>,0,tagdocs,,,,
33,33,altIdentifier,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdentifier.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdentifier.html</a>,1,msdescription,cf. Additional, this might be better.,,
34,34,am,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-am.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-am.html</a>,1,transc,abbreviation marker, <abbr>Mr.<am>.</am></abbr>,,
35,35,analytic,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-analytic.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-analytic.html</a>,,core,,,,
36,36,anchor,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-anchor.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-anchor.html</a>,1,linking,link to images?,,,
37,37,annotationBlock,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-annotationBlock.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-annotationBlock.html</a>,,spoken,,,,
38,38,app,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-app.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-app.html</a>,1,textcrit,Create Apparatuses on demand with different foci,,yes,
39,39,appInfo,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-appInfo.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-appInfo.html</a>,0,header,,,,
40,40,application,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-application.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-application.html</a>,0,header,,,,
41,41,arc,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-arc.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-arc.html</a>,0,nets,,,,
42,42,argument,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-argument.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-argument.html</a>,1,textStruct,for textual developments,,yes,
43,43,att.ascribed,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ascribed.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ascribed.html</a>,0,TEI infrastructure,,,,
44,44,att.breaking,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.breaking.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.breaking.html</a>,0,TEI infrastructure,,,,
45,45,att.canonical,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.canonical.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.canonical.html</a>,,TEI infrastructure,,,,
